line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.647686  1.051840 -0.193584    1.00000000     5.67622  2.93  6.969E-08   0.000000  6.139081 12.972192 -1.297985  6.139081  0.000000 -1.297985  8.8615E+02  2.3174E+00  0.0000E+00  0.8933385  8.919E-01  3.30188 -6.34187  1.0000000  9.984E-01  3.69810 -7.09877  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.8548E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.9182E+01  0.0000E+00  1.0653E+00  0.0000E+00  1.8282E+00  0.0000E+00  1.5013E-04  0.0000E+00  4.0471E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0563E-02  1.7245E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  9.7911E-06  9.9756E-06 -1.8850E-02  1.1152E-04 -1.0000E+00  5.1069E+04  4.4618E+04  4.8281E+04   2.1204  -0.5832   1.2726   1.2197   0.6428   1.2070   0.7601   0.1187   2.7707  -0.3528   0.2779  -1.0886   5.1959   3.9233   2.7036   2.0608   1.4966   0.0516   0.6930  -0.0671   2.3508   2.9815   1.6150  7.1597E-01  4.8071E-05  2.9657E-05  2.6996E-01  7.4158E-10  1.0120E-08  3.1474E-32  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.3592E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  3.9370E-05  4.2708E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.0045E-10  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  1.3797092883E+05  3.648685  1.004301  0.309249    1.00000000     5.34941  2.98  7.398E-08   0.000000  6.164174 13.072300 -1.223024  6.164174  0.000000 -1.223024  4.5100E+02  7.3990E+00  0.0000E+00  0.8933385  8.920E-01  3.30216 -6.31996  1.0000000  9.985E-01  3.69875 -7.07361  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.2948E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.3077E+01  0.0000E+00  1.1232E+00  0.0000E+00  2.4901E-01  0.0000E+00  1.3550E-04  0.0000E+00  4.1114E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0635E-02  1.7302E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.0712E-05  1.0903E-05 -1.7873E-02  1.2541E-04 -1.0000E+00  4.6678E+04  4.0824E+04  4.4179E+04   2.2392  -0.5763   1.2622   1.2135   0.6404   1.2019   0.7563   0.1179   2.7572  -0.3502   0.2774  -1.0838   5.2912   4.0290   2.8155   2.1752   1.6136   0.1762   0.8147   0.0583   2.4653   3.0929   1.7317  7.1596E-01  4.4588E-05  3.4881E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.8850E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.0961E-12  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  8.9973E-06  8.8265E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.1770E-11  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  1.8755754344E+05  3.649454  0.956762  0.643743    1.00000000     5.04580  3.03  7.863E-08   0.000000  6.188988 13.170891 -1.149055  6.188988  0.000000 -1.149055  2.1996E+02  1.5966E+01  0.0000E+00  0.8933385  8.921E-01  3.30368 -6.29590  1.0000000  9.985E-01  3.70033 -7.04677  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1193E+01  0.0000E+00  0.0000E+00  0.0000E+00  9.9963E+01  0.0000E+00  1.2136E+00  0.0000E+00  4.1579E-02  0.0000E+00  1.2213E-04  0.0000E+00  4.2583E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0703E-02  1.7356E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.1705E-05  1.1903E-05 -1.6879E-02  1.4082E-04 -1.0000E+00  4.2720E+04  3.7393E+04  4.0465E+04   2.3581  -0.5713   1.2534   1.2085   0.6386   1.1986   0.7534   0.1173   2.7470  -0.3485   0.2771  -1.0807   5.3913   4.1379   2.9294   2.2908   1.7309   0.2997   0.9358   0.1824   2.5809   3.2065   1.8487  7.1596E-01  4.3800E-05  3.6063E-05  2.6996E-01  7.4158E-10  1.0120E-08  9.2577E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  5.1712E-13  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.9165E-06  9.8886E-05  2.6996E-01  2.4475E-03  2.9658E-05  3.9920E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  2.1571502272E+05  3.650230  0.909224  0.825813    1.00000000     4.75999  3.09  8.356E-08   0.000000  6.213578 13.269376 -1.075202  6.213578  0.000000 -1.075202  6.1925E+01  2.4288E+01  0.0000E+00  0.8933385  8.922E-01  3.30480 -6.27201  1.0000000  9.986E-01  3.69978 -7.02273  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.5429E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.3532E+02  0.0000E+00  1.3880E+00  0.0000E+00  8.3737E-02  0.0000E+00  1.0987E-04  0.0000E+00  4.4718E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0769E-02  1.7408E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.2787E-05  1.2990E-05 -1.5846E-02  1.5811E-04 -1.0000E+00  3.9101E+04  3.4259E+04  3.7070E+04   2.4769  -0.5665   1.2440   1.2036   0.6369   1.1953   0.7504   0.1167   2.7369  -0.3468   0.2767  -1.0776   5.4911   4.2470   3.0435   2.4066   1.8482   0.4233   1.0569   0.3066   2.6966   3.3202   1.9658  7.1596E-01  4.3623E-05  3.6328E-05  2.6996E-01  7.4158E-10  1.0120E-08  4.6724E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.8657E-14  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  2.2056E-07  1.0144E-04  2.6996E-01  2.4475E-03  2.9658E-05  4.6781E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  2.3901311942E+05  3.650920  0.861686  0.857487    1.00000000     4.49241  3.14  8.883E-08   0.000000  6.237953 13.367263 -1.001929  6.237953  0.000000 -1.001929  3.0991E+00  2.6125E+01  0.0000E+00  0.8933385  8.924E-01  3.26680 -6.31124  1.0000000  9.988E-01  3.67424 -7.03638  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.1383E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.8940E+02  0.0000E+00  1.5958E+00  0.0000E+00  1.9726E-01  0.0000E+00  8.5216E-05  0.0000E+00  4.5918E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0832E-02  1.7459E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.3962E-05  1.4168E-05 -1.4723E-02  1.7736E-04 -1.0000E+00  3.5812E+04  3.1480E+04  3.3984E+04   2.5958  -0.5624   1.2357   1.1991   0.6354   1.1926   0.7476   0.1163   2.7280  -0.3455   0.2765  -1.0751   5.5930   4.3573   3.1582   2.5228   1.9656   0.5464   1.1778   0.4301   2.8127   3.4346   2.0831  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  7.4158E-10  1.0120E-08  2.5176E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.4566E-15  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.7611E-09  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  3.3530E-14  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  2.6474005783E+05  3.651569  0.814147  0.814146    1.00000000     4.24113  3.19  9.455E-08   0.000000  6.262107 13.464657 -0.928968  6.262107  0.000000 -0.928968  7.6984E-04  2.3638E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  1.0000000  9.989E-01  3.67532 -7.00906  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9660E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9660E+02  0.0000E+00  1.6173E+00  0.0000E+00  1.4512E-01  0.0000E+00  7.7354E-05  0.0000E+00  4.6604E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9597E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.5239E-05  1.5446E-05 -1.3554E-02  1.9886E-04 -1.0000E+00  3.2811E+04  0.0000E+00  3.1165E+04   2.7146  -0.5586   1.2278   1.1950   0.6341   1.1901   0.7450   0.1159   2.7198  -0.3442   0.2762  -1.0728   5.6959   4.4682   3.2732   2.6391   2.0831   0.6693   1.2985   0.5534   2.9290   3.5494   2.2004  7.1595E-01  3.0440E-13  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  8.8991E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.6224E-15  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.0440E-13  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.6224E-15  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  2.9471721793E+05  3.651951  0.766608  0.766608    1.00000000     4.00731  3.23  1.006E-07   0.000000  6.286073 13.560728 -0.856979  6.286073  0.000000 -0.856979  2.2492E-07  2.1183E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  1.0000000  9.990E-01  3.67570 -6.98181  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9752E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9752E+02  0.0000E+00  1.6192E+00  0.0000E+00  1.2370E-01  0.0000E+00  7.0006E-05  0.0000E+00  4.6676E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9650E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.6611E-05  1.6817E-05 -1.2378E-02  2.2263E-04 -1.0000E+00  3.0101E+04  0.0000E+00  2.8609E+04   2.8335  -0.5566   1.2225   1.1923   0.6336   1.1893   0.7433   0.1156   2.7150  -0.3438   0.2761  -1.0720   5.8049   4.5824   3.3901   2.7565   2.2008   0.7907   1.4184   0.6751   3.0463   3.6663   2.3181  7.1595E-01  7.3250E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  5.2929E-27  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  6.3866E-17  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  7.3250E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  6.3866E-17  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  3.2937952022E+05  3.652166  0.719069  0.719069    1.00000000     3.79100  3.28  1.072E-07   0.000000  6.309489 13.654743 -0.786476  6.309489  0.000000 -0.786476  3.6323E-07  1.8982E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  1.0000000  9.990E-01  3.67638 -6.95380  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9883E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9883E+02  0.0000E+00  1.6235E+00  0.0000E+00  5.0243E-02  0.0000E+00  6.3957E-05  0.0000E+00  4.6750E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9700E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.8073E-05  1.8276E-05 -1.1231E-02  2.4872E-04 -1.0000E+00  2.7665E+04  0.0000E+00  2.6317E+04   2.9523  -0.5559   1.2188   1.1904   0.6337   1.1895   0.7420   0.1155   2.7124  -0.3439   0.2762  -1.0722   5.9175   4.6987   3.5083   2.8746   2.3188   0.9113   1.5378   0.7958   3.1643   3.7844   2.4361  7.1595E-01  5.2418E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  3.0758E-26  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.5349E-18  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  5.2418E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.5349E-18  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  3.7044216683E+05  3.652370  0.671531  0.671275    1.00000000     3.58574  3.33  1.143E-07   0.000000  6.332856 13.749180 -0.715723  6.332856  0.000000 -0.715723  5.2898E-07  1.7003E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  1.0000000  9.991E-01  3.67659 -6.92608  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.0039E+02  0.0000E+00  0.0000E+00  0.0000E+00  2.0039E+02  0.0000E+00  1.6289E+00  0.0000E+00  7.2054E-02  0.0000E+00  5.7432E-05  0.0000E+00  4.6840E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9749E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.9671E-05  1.9868E-05 -1.0012E-02  2.7795E-04 -1.0000E+00  2.5419E+04  0.0000E+00  2.4193E+04   3.0712  -0.5553   1.2153   1.1887   0.6338   1.1898   0.7408   0.1154   2.7100  -0.3441   0.2762  -1.0725   6.0305   4.8152   3.6265   2.9926   2.4367   1.0318   1.6572   0.9164   3.2824   3.9026   2.5540  7.1595E-01  3.7899E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.6814E-25  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.8805E-20  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.7899E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.8805E-20  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
