line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.602336  0.428661  0.428654    0.50000000     3.41352  3.07  1.313E-07   0.000000  6.064917 13.262308 -0.930716  6.064917  0.000000 -0.930716  2.1975E-18  1.9383E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.985E-01  3.59603 -6.91922  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3444E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.3444E+02  0.0000E+00  1.4625E+00  0.0000E+00  1.0423E-02  0.0000E+00  1.2535E-04  0.0000E+00  4.1362E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9087E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.4679E-05  1.5133E-05 -3.0907E-02  1.6255E-04 -1.0000E+00  3.4084E+04  0.0000E+00  3.1537E+04   3.6783  -0.8806   1.5845   1.4120   0.7870   1.5151   0.8704   0.1485   3.3518  -0.5231   0.2964  -1.3799   7.5554   5.9709   4.5589   3.7719   3.0438   1.3556   2.0774   1.2071   4.0358   4.8553   3.1790  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.3366E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.8994E-35  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.8994E-35  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  2.9944424465E+04  3.600956  0.360412  0.360415    0.50000000     3.17584  3.14  1.431E-07   0.000000  6.094782 13.382221 -0.840796  6.094782  0.000000 -0.840796  8.5989E-02  1.6556E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.986E-01  3.59642 -6.88259  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3524E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.3524E+02  0.0000E+00  1.4705E+00  0.0000E+00  6.5698E-03  0.0000E+00  1.1182E-04  0.0000E+00  4.1677E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9197E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.6387E-05  1.6861E-05 -2.8910E-02  1.8806E-04 -1.0000E+00  3.0527E+04  0.0000E+00  2.8285E+04   3.8490  -0.8887   1.5823   1.4144   0.7921   1.5271   0.8715   0.1491   3.3674  -0.5302   0.2968  -1.3913   7.7343   6.1520   4.7376   3.9456   3.2106   1.5193   2.2417   1.3702   4.2074   5.0344   3.3463  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  2.4423E-37  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.9758E-18  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  3.9758E-18  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  4.3576285282E+05  3.599225  0.292163 -0.679396    0.50000000     2.95853  3.20  1.560E-07   0.000000  6.123782 13.500286 -0.752503  6.123782  0.000000 -0.752503  5.7603E+02  1.7139E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.987E-01  3.59636 -6.84689  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.1029E+01  0.0000E+00  0.0000E+00  0.0000E+00  4.1029E+01  0.0000E+00  9.5894E-01  0.0000E+00  8.5738E-03  0.0000E+00  1.0048E-04  0.0000E+00  3.7668E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9303E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.8260E-05  1.8751E-05 -2.6871E-02  2.1710E-04 -1.0000E+00  2.7393E+04  0.0000E+00  2.5403E+04   4.0196  -0.8995   1.5813   1.4180   0.7983   1.5417   0.8733   0.1500   3.3878  -0.5389   0.2971  -1.4053   7.9184   6.3371   4.9191   4.1208   3.3774   1.6813   2.4046   1.5313   4.3802   5.2162   3.5138  7.1595E-01  1.1482E-05  8.4537E-05  2.6996E-01  7.4158E-10  1.0120E-08  2.3402E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.1191E-11  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.1482E-05  8.4537E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.1191E-11  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  6.3857230581E+05  3.597375  0.223913  0.056857    0.50000000     2.75902  3.26  1.705E-07   0.000000  6.152359 13.616618 -0.665212  6.152359  0.000000 -0.665212  6.8434E+01  8.2895E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.988E-01  3.59642 -6.81007  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.4992E+01  0.0000E+00  0.0000E+00  0.0000E+00  7.4992E+01  0.0000E+00  1.1698E+00  0.0000E+00  3.3181E-01  0.0000E+00  8.9954E-05  0.0000E+00  4.0913E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9403E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.0317E-05  2.0820E-05 -2.4796E-02  2.5015E-04 -1.0000E+00  2.4619E+04  0.0000E+00  2.2855E+04   4.1902  -0.9116   1.5803   1.4219   0.8050   1.5572   0.8755   0.1511   3.4098  -0.5483   0.2974  -1.4202   8.1040   6.5237   5.1019   4.2968   3.5446   1.8431   2.5675   1.6920   4.5536   5.3993   3.6817  7.1595E-01  4.9377E-07  1.0101E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.8809E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.6724E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  4.9377E-07  1.0101E-04  2.6996E-01  2.4475E-03  2.9658E-05  2.6724E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  7.0268565137E+05  3.595246  0.155664  0.152840    0.50000000     2.57572  3.32  1.860E-07   0.000000  6.180713 13.731531 -0.579135  6.180713  0.000000 -0.579135  9.1066E-01  1.0257E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.989E-01  3.59632 -6.77301  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3564E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.3564E+02  0.0000E+00  1.4907E+00  0.0000E+00  2.0000E-02  0.0000E+00  8.0067E-05  0.0000E+00  4.3348E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9498E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.2570E-05  2.3080E-05 -2.2641E-02  2.8771E-04 -1.0000E+00  2.2159E+04  0.0000E+00  2.0593E+04   4.3608  -0.9273   1.5797   1.4267   0.8127   1.5755   0.8782   0.1526   3.4363  -0.5593   0.2977  -1.4376   8.2946   6.7149   5.2881   4.4754   3.7126   2.0045   2.7301   1.8519   4.7289   5.5859   3.8505  7.1595E-01  2.4327E-09  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.0447E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  8.1540E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  2.4327E-09  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  8.1540E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  7.7342550177E+05  3.593007  0.087415  0.087422    0.50000000     2.40573  3.38  2.037E-07   0.000000  6.208649 13.845875 -0.493311  6.208649  0.000000 -0.493311  4.9078E-06  8.8225E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.990E-01  3.59622 -6.73303  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4044E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.4044E+02  0.0000E+00  1.5181E+00  0.0000E+00  2.0554E-02  0.0000E+00  7.1071E-05  0.0000E+00  4.4374E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9590E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.5054E-05  2.5568E-05 -2.0521E-02  3.3064E-04 -1.0000E+00  1.9961E+04  0.0000E+00  1.8565E+04   4.5315  -0.9465   1.5787   1.4320   0.8210   1.5957   0.8812   0.1542   3.4656  -0.5715   0.2980  -1.4570   8.4887   6.9100   5.4780   4.6570   3.8823   2.1667   2.8936   2.0124   4.9065   5.7760   4.0210  7.1595E-01  3.8580E-15  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  5.9370E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.5520E-19  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.8580E-15  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  2.5520E-19  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  8.6126832420E+05  3.590588  0.019165  0.019179    0.50000000     2.24822  3.44  2.228E-07   0.000000  6.236621 13.959575 -0.408029  6.236621  0.000000 -0.408029  3.0791E-07  7.5415E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.990E-01  3.59624 -6.69288  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4188E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.4188E+02  0.0000E+00  1.5314E+00  0.0000E+00  1.6837E-02  0.0000E+00  6.3521E-05  0.0000E+00  4.4824E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9675E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.7792E-05  2.8300E-05 -1.8277E-02  3.7959E-04 -1.0000E+00  1.7994E+04  0.0000E+00  1.6750E+04   4.7021  -0.9703   1.5773   1.4379   0.8303   1.6185   0.8846   0.1560   3.4990  -0.5855   0.2982  -1.4789   8.6877   7.1103   5.6724   4.8421   4.0539   2.3294   3.0580   2.1734   5.0869   5.9706   4.1935  7.1595E-01  1.3780E-16  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  3.6034E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.5254E-23  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.3780E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  3.5254E-23  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  9.7104664227E+05  3.588221 -0.049084 -0.049085    0.50000000     2.10124  3.50  2.446E-07   0.000000  6.264636 14.073486 -0.322535  6.264636  0.000000 -0.322535  5.7471E-07  6.4470E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.991E-01  3.59721 -6.64728  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4325E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.4325E+02  0.0000E+00  1.5452E+00  0.0000E+00  2.3651E-02  0.0000E+00  5.5734E-05  0.0000E+00  4.5273E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9755E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.0826E-05  3.1321E-05 -1.6028E-02  4.3573E-04 -1.0000E+00  1.6222E+04  0.0000E+00  1.5113E+04   4.8727  -0.9967   1.5744   1.4437   0.8397   1.6422   0.8881   0.1575   3.5336  -0.6001   0.2983  -1.5017   8.8875   7.3131   5.8694   5.0296   4.2271   2.4933   3.2239   2.3358   5.2692   6.1677   4.3677  7.1595E-01  9.7012E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.5993E-27  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  9.3477E-28  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  9.7012E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  9.3477E-28  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  1.1084658000E+06  3.585869 -0.117333 -0.117332    0.50000000     1.96378  3.55  2.676E-07   0.000000  6.292713 14.187737 -0.236714  6.292713  0.000000 -0.236714  1.0490E-06  5.5121E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.5000000  9.991E-01  3.60268 -6.58361  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4484E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.4484E+02  0.0000E+00  1.5594E+00  0.0000E+00  8.8965E-03  0.0000E+00  4.8138E-05  0.0000E+00  4.5681E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9831E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.4197E-05  3.4664E-05 -1.3700E-02  5.0022E-04 -1.0000E+00  1.4622E+04  0.0000E+00  1.3637E+04   5.0433  -1.0247   1.5685   1.4490   0.8495   1.6665   0.8907   0.1592   3.5680  -0.6152   0.2983  -1.5251   9.0855   7.5170   6.0680   5.2185   4.4015   2.6592   3.3907   2.5000   5.4528   6.3663   4.5429  7.1595E-01  6.6193E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.0444E-26  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  5.2258E-31  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  6.6193E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  5.2258E-31  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
