line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    3.400000  2.101903  4.140138  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2362  4.140138    0.000  1.604255  7.414506  7.1690790E-01  2.6873711E-01  1.7015937E-05  4.5426963E-06  3.5581284E-03  5.3385878E-03  1.4086790E-04  5.5660620E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001061  0.0000000E+00  0.0000000000E+00       4.381     1.97   -0.5048    0.6114   -0.4600   -0.1442   -0.0511   -0.1716   -0.0757   -0.0125   -0.3120   -0.0273   -0.1409    0.1482         0   -1.1162
  2  5.013535130682647E+06    3.400000  2.101514  4.136592  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2394  4.136592    0.000  1.592265  7.411471  7.0883108E-01  2.7692271E-01  2.0416982E-05  5.4491419E-06  4.3144145E-03  4.4597576E-03  1.5025311E-04  5.7972890E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001061  0.0000000E+00  0.0000000000E+00       4.367     2.00   -0.5038    0.5833   -0.4501   -0.1416   -0.0498   -0.1681   -0.0740   -0.0122   -0.3045   -0.0269   -0.1390    0.1453         0   -1.0871
  3  9.980393724034263E+06    3.400000  2.103905  4.134180  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2373  4.134180    0.000  1.584964  7.409743  7.0071502E-01  2.8512154E-01  2.2950982E-05  6.1243732E-06  4.8810325E-03  3.8211049E-03  1.3630398E-04  5.2070422E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001067  0.0000000E+00  0.0000000000E+00       4.355     2.03   -0.5098    0.5577   -0.4431   -0.1398   -0.0489   -0.1658   -0.0729   -0.0120   -0.2995   -0.0267   -0.1377    0.1433         0   -1.0675
  4  1.482854415581248E+07    3.400000  2.106904  4.132351  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2355  4.132351    0.000  1.580193  7.408770  6.9267024E-01  2.9323052E-01  2.4915196E-05  6.6478326E-06  5.3191208E-03  3.3302275E-03  1.2242416E-04  4.6515425E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001074  0.0000000E+00  0.0000000000E+00       4.345     2.05   -0.5173    0.5359   -0.4367   -0.1384   -0.0482   -0.1641   -0.0721   -0.0118   -0.2959   -0.0265   -0.1368    0.1419         0   -1.0531
  5  1.957808012148254E+07    3.400000  2.110079  4.130891  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2334  4.130891    0.000  1.576717  7.408393  6.8468055E-01  3.0127211E-01  2.6529075E-05  7.0781830E-06  5.6727176E-03  2.9353057E-03  1.0980787E-04  4.1617723E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001083  0.0000000E+00  0.0000000000E+00       4.336     2.07   -0.5252    0.5165   -0.4316   -0.1373   -0.0476   -0.1628   -0.0715   -0.0116   -0.2930   -0.0264   -0.1361    0.1407         0   -1.0417
  6  2.424746990850754E+07    3.400000  2.113502  4.129564  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2316  4.129564    0.000  1.574056  7.408125  6.7666058E-01  3.0933564E-01  2.7879956E-05  7.4383965E-06  5.9686308E-03  2.6058750E-03  9.8116880E-05  3.7123053E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001091  0.0000000E+00  0.0000000000E+00       4.327     2.09   -0.5338    0.4976   -0.4271   -0.1363   -0.0471   -0.1616   -0.0709   -0.0115   -0.2903   -0.0263   -0.1354    0.1397         0   -1.0314
  7  2.884540813701591E+07    3.400000  2.116883  4.128345  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2297  4.128345    0.000  1.571782  7.408061  6.6862119E-01  3.1741193E-01  2.9037196E-05  7.7470876E-06  6.2192152E-03  2.3270175E-03  8.8076151E-05  3.3293871E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001100  0.0000000E+00  0.0000000000E+00       4.319     2.11   -0.5422    0.4797   -0.4230   -0.1353   -0.0466   -0.1605   -0.0704   -0.0113   -0.2879   -0.0262   -0.1348    0.1388         0   -1.0219
  8  3.338709551657754E+07    3.400000  2.120234  4.127136  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2279  4.127136    0.000  1.569866  7.407985  6.6055646E-01  3.2550834E-01  3.0030259E-05  8.0119816E-06  6.4343486E-03  2.0878958E-03  7.9154257E-05  2.9895232E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001109  0.0000000E+00  0.0000000000E+00       4.311     2.13   -0.5506    0.4620   -0.4191   -0.1344   -0.0462   -0.1594   -0.0699   -0.0112   -0.2855   -0.0260   -0.1342    0.1378         0   -1.0125
  9  3.780105497284366E+07    3.400000  2.123901  4.126118  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2259  4.126118    0.000  1.568598  7.408171  6.5264046E-01  3.3345122E-01  3.0896851E-05  8.2433387E-06  6.6165119E-03  1.8852936E-03  7.1688686E-05  2.7082275E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.001119  0.0000000E+00  0.0000000000E+00       4.303     2.15   -0.5598    0.4449   -0.4158   -0.1336   -0.0458   -0.1585   -0.0694   -0.0111   -0.2835   -0.0259   -0.1337    0.1370         0   -1.0047
