line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   19.798086  4.602925  4.551484  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4628  4.551484   -7.618  0.764142  7.576790  7.1687448E-01  2.6882828E-01  2.7517873E-05  7.4999728E-06  3.9051035E-03  5.0410261E-03  1.7356086E-05  1.6409997E-08  1.8761975E-03  5.1973042E-05  2.768E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.053639  0.0000000E+00  0.0000000000E+00       4.291     5.27   -6.7573   -3.3797   -1.1373   -0.3184   -0.1391   -0.4066   -0.2119   -0.0338   -0.8955   -0.0697   -0.2830    0.3482         1   -3.3776
  2  1.733884448976252E+05   19.793868  4.607054  4.547581  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4599  4.547581   -7.616  0.745349  7.571293  7.0845174E-01  2.7741957E-01  3.5307622E-05  9.6225265E-06  5.0795656E-03  3.6898526E-03  1.3072827E-05  1.2122002E-08  1.8745332E-03  3.7223677E-06  8.264E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.054163  0.0000000E+00  0.0000000000E+00       4.271     5.39   -6.7676   -3.4150   -1.1342   -0.3171   -0.1384   -0.4047   -0.2110   -0.0337   -0.8919   -0.0692   -0.2818    0.3467         1   -3.3527
  3  3.431326957391314E+05   19.789703  4.611510  4.545411  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4575  4.545411   -7.611  0.735837  7.568844  7.0020605E-01  2.8576974E-01  4.0093724E-05  1.0927079E-05  5.7997334E-03  2.8614608E-03  1.0250996E-05  9.4321878E-09  1.8732021E-03  3.9431739E-07  1.131E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.054733  0.0000000E+00  0.0000000000E+00       4.258     5.47   -6.7788   -3.4397   -1.1325   -0.3165   -0.1380   -0.4037   -0.2105   -0.0336   -0.8899   -0.0689   -0.2811    0.3458         1   -3.3391
  4  5.094877402352336E+05   19.785564  4.616110  4.543920  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4552  4.543920   -7.604  0.729962  7.567589  6.9206939E-01  2.9397906E-01  4.3445244E-05  1.1840028E-05  6.2995280E-03  2.2865671E-03  8.2316959E-06  7.5503722E-09  1.8720259E-03  7.5058035E-08  1.309E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.055328  0.0000000E+00  0.0000000000E+00       4.247     5.54   -6.7903   -3.4603   -1.1313   -0.3160   -0.1378   -0.4030   -0.2102   -0.0335   -0.8885   -0.0688   -0.2806    0.3452         1   -3.3300
  5  6.792322098943895E+05   19.781267  4.620786  4.542723  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4520  4.542723   -7.596  0.725753  7.566924  6.8366508E-01  3.0243895E-01  4.6036080E-05  1.2545797E-05  6.6816244E-03  1.8470348E-03  6.6608822E-06  6.1041521E-09  1.8708956E-03  3.9354954E-08  1.415E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.055939  0.0000000E+00  0.0000000000E+00       4.237     5.60   -6.8020   -3.4793   -1.1303   -0.3156   -0.1376   -0.4025   -0.2099   -0.0335   -0.8874   -0.0686   -0.2803    0.3447         1   -3.3227
  6  8.418946012772517E+05   19.777071  4.625533  4.541782  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4494  4.541782   -7.588  0.722926  7.566666  6.7548441E-01  3.1066075E-01  4.7991116E-05  1.3079060E-05  6.9656322E-03  1.5202984E-03  5.4797608E-06  5.0251369E-09  1.8698492E-03  3.7417790E-08  1.469E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.056565  0.0000000E+00  0.0000000000E+00       4.229     5.66   -6.8138   -3.4967   -1.1295   -0.3153   -0.1374   -0.4020   -0.2097   -0.0334   -0.8865   -0.0685   -0.2800    0.3444         1   -3.3171
  7  1.004425539164028E+06   19.772795  4.630345  4.540940  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4470  4.540940   -7.579  0.720841  7.566661  6.6719891E-01  3.1897888E-01  4.9578170E-05  1.3511430E-05  7.1904781E-03  1.2615679E-03  4.5362643E-06  4.1684998E-09  1.8688266E-03  3.9875290E-08  1.490E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.057209  0.0000000E+00  0.0000000000E+00       4.220     5.71   -6.8259   -3.5137   -1.1288   -0.3151   -0.1373   -0.4016   -0.2095   -0.0334   -0.8857   -0.0684   -0.2797    0.3440         1   -3.3122
  8  1.163414755133345E+06   19.768527  4.634973  4.540168  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4439  4.540168   -7.570  0.719234  7.566825  6.5896007E-01  3.2724354E-01  5.0842816E-05  1.3856674E-05  7.3676899E-03  1.0576248E-03  3.7940037E-06  3.4933708E-09  1.8678360E-03  4.3256233E-08  1.489E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.057834  0.0000000E+00  0.0000000000E+00       4.213     5.76   -6.8374   -3.5298   -1.1281   -0.3148   -0.1372   -0.4013   -0.2093   -0.0334   -0.8850   -0.0683   -0.2795    0.3437         1   -3.3077
  9  1.322212476240370E+06   19.764174  4.639834  4.539440  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4412  4.539440   -7.561  0.718135  7.567136  6.5058456E-01  3.3563987E-01  5.1921576E-05  1.4150504E-05  7.5118353E-03  8.9165832E-04  3.1849569E-06  2.9430598E-09  1.8668481E-03  4.7192266E-08  1.471E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.058497  0.0000000E+00  0.0000000000E+00       4.205     5.81   -6.8496   -3.5461   -1.1275   -0.3146   -0.1370   -0.4009   -0.2091   -0.0334   -0.8843   -0.0682   -0.2793    0.3435         1   -3.3034
