line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   16.599013  4.392136  4.520177  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4229  4.520177   -8.001  0.831306  7.564169  7.1683075E-01  2.6887065E-01  2.6235329E-05  7.1383832E-06  3.9026063E-03  5.0440186E-03  1.9518404E-05  1.6741951E-08  1.8762428E-03  4.3562751E-05  2.600E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.039449  0.0000000E+00  0.0000000000E+00       4.300     4.78   -6.2303   -3.0611   -1.1090   -0.3087   -0.1339   -0.3921   -0.2043   -0.0326   -0.8647   -0.0660   -0.2735    0.3360         1   -3.1693
  2  2.165659658349363E+05   16.596850  4.396029  4.516328  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4224  4.516328   -8.002  0.812812  7.558837  7.0849921E-01  2.7736520E-01  3.3407419E-05  9.0893996E-06  5.0378315E-03  3.7388908E-03  1.5053007E-05  1.2621752E-08  1.8747342E-03  2.3739328E-06  7.450E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.039808  0.0000000E+00  0.0000000000E+00       4.280     4.88   -6.2401   -3.0938   -1.1050   -0.3076   -0.1333   -0.3904   -0.2034   -0.0324   -0.8607   -0.0656   -0.2724    0.3346         1   -3.1462
  3  4.279755991499945E+05   16.594727  4.400605  4.514182  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4207  4.514182   -7.997  0.803323  7.556415  7.0034444E-01  2.8562250E-01  3.7896697E-05  1.0310310E-05  5.7443273E-03  2.9269197E-03  1.1916375E-05  9.9154794E-09  1.8735193E-03  1.9707811E-07  1.001E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.040236  0.0000000E+00  0.0000000000E+00       4.267     4.96   -6.2515   -3.1179   -1.1028   -0.3070   -0.1330   -0.3895   -0.2029   -0.0323   -0.8585   -0.0654   -0.2718    0.3338         1   -3.1337
  4  6.393852324650517E+05   16.592576  4.405170  4.512658  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4179  4.512658   -7.990  0.797115  7.555119  6.9209620E-01  2.9394416E-01  4.1128284E-05  1.1190011E-05  6.2501058E-03  2.3456685E-03  9.5990542E-06  7.9598027E-09  1.8724185E-03  3.0547521E-08  1.142E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.040667  0.0000000E+00  0.0000000000E+00       4.256     5.02   -6.2629   -3.1381   -1.1012   -0.3066   -0.1328   -0.3889   -0.2025   -0.0323   -0.8569   -0.0653   -0.2714    0.3333         1   -3.1248
  5  8.498115251922886E+05   16.590403  4.409890  4.511480  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4151  4.511480   -7.983  0.792829  7.554457  6.8379126E-01  3.0230417E-01  4.3578377E-05  1.1856887E-05  6.6289517E-03  1.9102719E-03  7.8313275E-06  6.4874772E-09  1.8713875E-03  1.6602611E-08  1.214E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.041117  0.0000000E+00  0.0000000000E+00       4.247     5.07   -6.2747   -3.1566   -1.0999   -0.3062   -0.1326   -0.3884   -0.2022   -0.0322   -0.8557   -0.0651   -0.2711    0.3329         1   -3.1181
  6  1.055272639041984E+06   16.588242  4.414852  4.510532  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4129  4.510532   -7.975  0.789926  7.554202  6.7556636E-01  3.1057090E-01  4.5490701E-05  1.2376888E-05  6.9173954E-03  1.5787152E-03  6.4632959E-06  5.3619354E-09  1.8704170E-03  1.6325641E-08  1.242E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.041595  0.0000000E+00  0.0000000000E+00       4.238     5.13   -6.2871   -3.1743   -1.0989   -0.3060   -0.1325   -0.3880   -0.2020   -0.0322   -0.8547   -0.0650   -0.2709    0.3325         1   -3.1128
  7  1.257593122464381E+06   16.586073  4.419594  4.509689  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4099  4.509689   -7.967  0.787598  7.554172  6.6733304E-01  3.1883727E-01  4.7077225E-05  1.2811409E-05  7.1443120E-03  1.3177764E-03  5.3494362E-06  4.4629755E-09  1.8694799E-03  1.7559738E-08  1.243E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.042058  0.0000000E+00  0.0000000000E+00       4.230     5.17   -6.2990   -3.1909   -1.0980   -0.3057   -0.1323   -0.3877   -0.2017   -0.0321   -0.8539   -0.0650   -0.2706    0.3322         1   -3.1081
  8  1.457419867874249E+06   16.583889  4.424358  4.508951  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4070  4.508951   -7.958  0.785933  7.554357  6.5907837E-01  3.2711827E-01  4.8286322E-05  1.3138736E-05  7.3256515E-03  1.1093051E-03  4.5083263E-06  3.7627326E-09  1.8685653E-03  1.9061919E-08  1.227E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.042527  0.0000000E+00  0.0000000000E+00       4.222     5.22   -6.3109   -3.2068   -1.0972   -0.3055   -0.1322   -0.3874   -0.2016   -0.0321   -0.8531   -0.0649   -0.2704    0.3320         1   -3.1041
  9  1.653124984398607E+06   16.581707  4.429345  4.508270  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4050  4.508270   -7.950  0.784728  7.554683  6.5085650E-01  3.3536123E-01  4.9451560E-05  1.3457455E-05  7.4710889E-03  9.4182508E-04  3.7835464E-06  3.1894103E-09  1.8676721E-03  2.0855842E-08  1.199E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.043025  0.0000000E+00  0.0000000000E+00       4.214     5.27   -6.3234   -3.2230   -1.0965   -0.3054   -0.1321   -0.3871   -0.2014   -0.0321   -0.8524   -0.0648   -0.2703    0.3317         1   -3.1004
