line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    5.799999  2.936637  4.284575  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2805  4.284575   -5.045  1.315317  7.471021  7.1687650E-01  2.6880502E-01  2.1627312E-05  5.7973758E-06  3.7564641E-03  5.1888699E-03  5.0956308E-05  3.0921272E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004292  0.0000000E+00  0.0000000000E+00       4.356     2.65   -2.5916   -0.5189   -0.7836   -0.2335   -0.0965   -0.2958   -0.1421   -0.0221   -0.5965   -0.0454   -0.2130    0.2544         0   -2.0727
  2  1.454376861245603E+06    5.799998  2.937968  4.280697  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2834  4.280697   -5.043  1.299732  7.466760  7.0871858E-01  2.7710255E-01  2.6775105E-05  7.1758334E-06  4.7170069E-03  4.0892275E-03  4.3839733E-05  2.5544538E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004308  0.0000000E+00  0.0000000000E+00       4.339     2.70   -2.5949   -0.5333   -0.7783   -0.2321   -0.0959   -0.2938   -0.1412   -0.0221   -0.5930   -0.0450   -0.2118    0.2527         0   -2.0616
  3  2.864550945524431E+06    5.799997  2.941354  4.278402  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2811  4.278402   -5.037  1.291236  7.464703  7.0067309E-01  2.8524068E-01  3.0181194E-05  8.0878810E-06  5.3537539E-03  3.3616318E-03  3.7688036E-05  2.1514077E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004342  0.0000000E+00  0.0000000000E+00       4.327     2.74   -2.6034   -0.5492   -0.7750   -0.2312   -0.0956   -0.2926   -0.1406   -0.0221   -0.5908   -0.0448   -0.2111    0.2516         0   -2.0542
  4  4.242158374401440E+06    5.799996  2.945096  4.276763  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2786  4.276763   -5.030  1.285625  7.463700  6.9267372E-01  2.9330840E-01  3.2705684E-05  8.7639202E-06  5.8228519E-03  2.8262586E-03  3.2434353E-05  1.8320116E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004381  0.0000000E+00  0.0000000000E+00       4.316     2.77   -2.6127   -0.5642   -0.7726   -0.2306   -0.0953   -0.2918   -0.1402   -0.0221   -0.5891   -0.0446   -0.2105    0.2509         0   -2.0485
  5  5.600389285647920E+06    5.799994  2.949177  4.275436  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2763  4.275436   -5.023  1.281606  7.463100  6.8465483E-01  3.0138062E-01  3.4688936E-05  9.2951040E-06  6.1888054E-03  2.4088374E-03  2.8061742E-05  1.5743746E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004424  0.0000000E+00  0.0000000000E+00       4.307     2.80   -2.6229   -0.5793   -0.7705   -0.2300   -0.0951   -0.2910   -0.1398   -0.0221   -0.5877   -0.0445   -0.2101    0.2503         0   -2.0436
  6  6.958619450398254E+06    5.799993  2.953243  4.274247  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2736  4.274247   -5.015  1.278294  7.462755  6.7650208E-01  3.0957674E-01  3.6312476E-05  9.7299867E-06  6.4864223E-03  2.0695120E-03  2.4329307E-05  1.3594976E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004466  0.0000000E+00  0.0000000000E+00       4.298     2.83   -2.6331   -0.5940   -0.7687   -0.2295   -0.0949   -0.2904   -0.1395   -0.0221   -0.5863   -0.0444   -0.2097    0.2497         0   -2.0391
  7  8.267618341123505E+06    5.799992  2.957492  4.273267  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2713  4.273267   -5.008  1.275979  7.462713  6.6850168E-01  3.1761200E-01  3.7639445E-05  1.0085558E-05  6.7249331E-03  1.7976666E-03  2.1196032E-05  1.1828641E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004510  0.0000000E+00  0.0000000000E+00       4.290     2.85   -2.6437   -0.6086   -0.7671   -0.2291   -0.0947   -0.2898   -0.1392   -0.0220   -0.5852   -0.0443   -0.2094    0.2493         0   -2.0351
  8  9.556679313718515E+06    5.799990  2.961589  4.272333  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2688  4.272333   -5.000  1.273913  7.462774  6.6050730E-01  3.2563525E-01  3.8752476E-05  1.0383855E-05  6.9226384E-03  1.5723363E-03  1.8568603E-05  1.0354809E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004554  0.0000000E+00  0.0000000000E+00       4.282     2.88   -2.6540   -0.6227   -0.7656   -0.2287   -0.0945   -0.2893   -0.1389   -0.0220   -0.5841   -0.0442   -0.2091    0.2488         0   -2.0313
  9  1.084573718311451E+07    5.799989  2.965984  4.271496  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2666  4.271496   -4.993  1.272453  7.463021  6.5234922E-01  3.3381801E-01  3.9729968E-05  1.0645953E-05  7.0916106E-03  1.3797744E-03  1.6254805E-05  9.0748247E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004601  0.0000000E+00  0.0000000000E+00       4.274     2.91   -2.6650   -0.6372   -0.7642   -0.2284   -0.0944   -0.2888   -0.1387   -0.0220   -0.5831   -0.0441   -0.2088    0.2484         0   -2.0278
