line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   10.999830  3.861054  4.437432  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3548  4.437432   -9.063  1.002434  7.530742  7.1689750E-01  2.6879390E-01  2.3167469E-05  6.2784328E-06  3.8510075E-03  5.1007854E-03  2.7333561E-05  1.8361211E-08  1.8763863E-03  2.8285881E-05  1.974E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.017455  0.0000000E+00  0.0000000000E+00       4.321     3.79   -4.9026   -2.2063   -1.0026   -0.2883   -0.1241   -0.3619   -0.1824   -0.0290   -0.7720   -0.0589   -0.2541    0.3104         1   -2.6964
  2  4.014798085838883E+05   10.999483  3.864660  4.433518  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3522  4.433518   -9.063  0.984350  7.525571  7.0866880E-01  2.7717640E-01  2.9071899E-05  7.8758011E-06  4.9204456E-03  3.8732957E-03  2.2530805E-05  1.4535124E-08  1.8751823E-03  7.0104590E-07  5.280E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.017601  0.0000000E+00  0.0000000000E+00       4.302     3.88   -4.9116   -2.2346   -0.9968   -0.2874   -0.1237   -0.3606   -0.1813   -0.0289   -0.7674   -0.0586   -0.2533    0.3094         1   -2.6771
  3  8.002198599438436E+05   10.999136  3.868822  4.431235  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3493  4.431235   -9.057  0.974419  7.523095  7.0050010E-01  2.8544570E-01  3.3074746E-05  8.9640351E-06  5.6120906E-03  3.0804600E-03  1.7959288E-05  1.1585666E-08  1.8741909E-03  2.7372658E-08  6.596E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.017771  0.0000000E+00  0.0000000000E+00       4.288     3.94   -4.9221   -2.2562   -0.9934   -0.2869   -0.1235   -0.3599   -0.1807   -0.0288   -0.7647   -0.0585   -0.2528    0.3087         1   -2.6658
  4  1.195389796890466E+06   10.998786  3.873450  4.429681  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3471  4.429681   -9.048  0.968210  7.521808  6.9236170E-01  2.9365610E-01  3.5892875E-05  9.7291254E-06  6.1084750E-03  2.5115339E-03  1.4689250E-05  9.4430560E-09  1.8733053E-03  2.9447169E-09  7.009E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.017962  0.0000000E+00  0.0000000000E+00       4.278     3.99   -4.9336   -2.2754   -0.9912   -0.2865   -0.1233   -0.3594   -0.1803   -0.0287   -0.7629   -0.0584   -0.2525    0.3083         1   -2.6582
  5  1.577519543203934E+06   10.998439  3.878000  4.428505  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3444  4.428505   -9.038  0.963905  7.521150  6.8435030E-01  3.0172140E-01  3.8066471E-05  1.0318273E-05  6.4796476E-03  2.0860328E-03  1.2218592E-05  7.8528978E-09  1.8724940E-03  1.9606368E-09  7.014E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.018152  0.0000000E+00  0.0000000000E+00       4.268     4.03   -4.9450   -2.2926   -0.9894   -0.2862   -0.1232   -0.3590   -0.1800   -0.0286   -0.7615   -0.0583   -0.2522    0.3080         1   -2.6524
  6  1.959649289517414E+06   10.998085  3.882575  4.427511  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3415  4.427511   -9.028  0.960608  7.520860  6.7623470E-01  3.0987960E-01  3.9794677E-05  1.0786575E-05  6.7736865E-03  1.7489664E-03  1.0238741E-05  6.5844104E-09  1.8717133E-03  2.0410847E-09  6.815E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.018345  0.0000000E+00  0.0000000000E+00       4.260     4.07   -4.9564   -2.3089   -0.9880   -0.2860   -0.1231   -0.3587   -0.1797   -0.0286   -0.7604   -0.0582   -0.2520    0.3077         1   -2.6475
  7  2.341779035830895E+06   10.997723  3.887479  4.426665  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3393  4.426665   -9.017  0.958256  7.520842  6.6800330E-01  3.1814550E-01  4.1193662E-05  1.1166892E-05  7.0110239E-03  1.4769045E-03  8.6257634E-06  5.5541361E-09  1.8709511E-03  2.1981912E-09  6.523E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.018554  0.0000000E+00  0.0000000000E+00       4.251     4.11   -4.9687   -2.3254   -0.9867   -0.2858   -0.1230   -0.3584   -0.1795   -0.0285   -0.7594   -0.0581   -0.2518    0.3075         1   -2.6433
  8  2.713580951162934E+06   10.997360  3.892257  4.425917  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3366  4.425917   -9.006  0.956438  7.521009  6.5981230E-01  3.2636410E-01  4.2374487E-05  1.1485827E-05  7.2015163E-03  1.2584557E-03  7.3224821E-06  4.7285596E-09  1.8702138E-03  2.3762455E-09  6.220E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.018760  0.0000000E+00  0.0000000000E+00       4.244     4.15   -4.9806   -2.3410   -0.9856   -0.2856   -0.1229   -0.3581   -0.1793   -0.0285   -0.7585   -0.0581   -0.2517    0.3072         1   -2.6396
  9  3.075055035513527E+06   10.996999  3.896877  4.425228  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3336  4.425228   -8.995  0.954968  7.521304  6.5172440E-01  3.3447430E-01  4.3339336E-05  1.1746812E-05  7.3552031E-03  1.0821960E-03  6.2681317E-06  4.0604051E-09  1.8695012E-03  2.5685166E-09  5.919E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.018961  0.0000000E+00  0.0000000000E+00       4.236     4.18   -4.9922   -2.3560   -0.9846   -0.2854   -0.1228   -0.3579   -0.1791   -0.0285   -0.7577   -0.0580   -0.2515    0.3070         1   -2.6362
