line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.628445  0.714478  0.265421    0.70000000     4.20589  3.04  9.835E-08   0.000000  6.117248 13.185887 -1.060582  6.117248  0.000000 -1.060582  1.0982E+03  9.6308E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.986E-01  3.62152 -7.03750  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.9658E+01  0.0000E+00  0.0000E+00  0.0000E+00  4.9658E+01  0.0000E+00  1.0079E+00  0.0000E+00  3.9632E-02  0.0000E+00  1.1208E-04  0.0000E+00  3.9104E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9226E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.2769E-05  1.3086E-05 -2.4773E-02  1.4537E-04 -1.0000E+00  3.9159E+04  0.0000E+00  3.6704E+04   2.9638  -0.7351   1.4334   1.3126   0.7068   1.3383   0.8128   0.1314   3.0269  -0.4223   0.2884  -1.2121   6.4448   5.0115   3.6989   2.9921   2.3606   0.8034   1.4848   0.6720   3.2766   3.9873   2.4868  7.1597E-01  4.7873E-05  2.9954E-05  2.6996E-01  7.4158E-10  1.0120E-08  5.3974E-32  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.7877E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.7873E-05  2.9954E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.7877E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  2.8085470603E+05  3.628537  0.656683 -0.023445    0.70000000     3.93306  3.10  1.060E-07   0.000000  6.145214 13.298510 -0.976264  6.145214  0.000000 -0.976264  3.7291E+02  4.9072E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.987E-01  3.62248 -7.00506  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.8086E+01  0.0000E+00  0.0000E+00  0.0000E+00  6.8086E+01  0.0000E+00  1.0387E+00  0.0000E+00  2.8158E-02  0.0000E+00  9.9787E-05  0.0000E+00  3.8661E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9311E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.4142E-05  1.4471E-05 -2.3242E-02  1.6620E-04 -1.0000E+00  3.5358E+04  0.0000E+00  3.3183E+04   3.1083  -0.7351   1.4281   1.3106   0.7075   1.3397   0.8115   0.1311   3.0250  -0.4231   0.2885  -1.2134   6.5821   5.1540   3.8434   3.1359   2.5036   0.9495   1.6298   0.8183   3.4203   4.1318   2.6299  7.1595E-01  6.6655E-06  9.1763E-05  2.6996E-01  7.4158E-10  1.0120E-08  7.1839E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  9.6661E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  6.6655E-06  9.1763E-05  2.6996E-01  2.4475E-03  2.9658E-05  9.6661E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  3.5190578383E+05  3.628332  0.598888  0.403397    0.70000000     3.68387  3.15  1.144E-07   0.000000  6.172549 13.408223 -0.894014  6.172549  0.000000 -0.894014  1.0642E+02  1.3094E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.988E-01  3.62317 -6.97242  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.5941E+01  0.0000E+00  0.0000E+00  0.0000E+00  9.5941E+01  0.0000E+00  1.1908E+00  0.0000E+00  5.9746E-02  0.0000E+00  9.0099E-05  0.0000E+00  4.0973E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9391E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.5623E-05  1.5964E-05 -2.1760E-02  1.8951E-04 -1.0000E+00  3.2005E+04  0.0000E+00  3.0058E+04   3.2528  -0.7371   1.4251   1.3099   0.7090   1.3430   0.8110   0.1311   3.0268  -0.4249   0.2887  -1.2165   6.7249   5.2998   3.9898   3.2809   2.6468   1.0941   1.7740   0.9630   3.5650   4.2785   2.7733  7.1595E-01  7.5175E-07  1.0064E-04  2.6996E-01  7.4158E-10  1.0120E-08  3.9359E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  7.7554E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  7.5175E-07  1.0064E-04  2.6996E-01  2.4475E-03  2.9658E-05  7.7554E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  3.9184326665E+05  3.628014  0.541092  0.527150    0.70000000     3.45168  3.21  1.234E-07   0.000000  6.199444 13.517684 -0.812046  6.199444  0.000000 -0.812046  7.0723E+00  1.7399E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.989E-01  3.62408 -6.93915  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.5702E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.5702E+02  0.0000E+00  1.4663E+00  0.0000E+00  6.8297E-02  0.0000E+00  8.0661E-05  0.0000E+00  4.3526E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9469E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.7252E-05  1.7601E-05 -2.0176E-02  2.1593E-04 -1.0000E+00  2.8983E+04  0.0000E+00  2.7246E+04   3.3973  -0.7398   1.4228   1.3097   0.7108   1.3470   0.8107   0.1311   3.0300  -0.4271   0.2889  -1.2203   6.8696   5.4468   4.1370   3.4263   2.7901   1.2382   1.9178   1.1071   3.7100   4.4260   2.9168  7.1595E-01  1.7926E-08  1.0174E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.0971E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.9527E-14  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.7926E-08  1.0174E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.9527E-14  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  4.3158108970E+05  3.627308  0.483297  0.483292    0.70000000     3.23969  3.26  1.329E-07   0.000000  6.225957 13.624274 -0.732248  6.225957  0.000000 -0.732248  1.8567E-03  1.5726E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.990E-01  3.62482 -6.90647  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7544E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.7544E+02  0.0000E+00  1.5342E+00  0.0000E+00  3.3556E-02  0.0000E+00  7.2722E-05  0.0000E+00  4.3943E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9542E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.9003E-05  1.9356E-05 -1.8559E-02  2.4531E-04 -1.0000E+00  2.6312E+04  0.0000E+00  2.4756E+04   3.5418  -0.7449   1.4232   1.3111   0.7137   1.3533   0.8114   0.1313   3.0377  -0.4306   0.2893  -1.2263   7.0211   5.5978   4.2867   3.5730   2.9334   1.3803   2.0604   1.2490   3.8561   4.5760   3.0604  7.1595E-01  1.5725E-12  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.1385E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.7692E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.5725E-12  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.7692E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  4.7892272906E+05  3.626477  0.425502  0.425501    0.70000000     3.04332  3.32  1.434E-07   0.000000  6.251967 13.729574 -0.653303  6.251967  0.000000 -0.653303  2.1837E-07  1.3764E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.990E-01  3.62560 -6.87264  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7637E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.7637E+02  0.0000E+00  1.5413E+00  0.0000E+00  2.5453E-02  0.0000E+00  6.5606E-05  0.0000E+00  4.4482E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9613E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.0906E-05  2.1259E-05 -1.6903E-02  2.7827E-04 -1.0000E+00  2.3917E+04  0.0000E+00  2.2520E+04   3.6862  -0.7507   1.4242   1.3129   0.7170   1.3604   0.8123   0.1315   3.0468  -0.4345   0.2897  -1.2330   7.1741   5.7499   4.4370   3.7200   3.0765   1.5217   2.2025   1.3902   4.0025   4.7267   3.2040  7.1595E-01  1.1471E-16  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  6.8506E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0431E-18  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.1471E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.0431E-18  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  5.3557767127E+05  3.625399  0.367707  0.367706    0.70000000     2.86133  3.37  1.550E-07   0.000000  6.277565 13.833544 -0.575313  6.277565  0.000000 -0.575313  3.7880E-07  1.2048E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.991E-01  3.62623 -6.83858  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7773E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.7773E+02  0.0000E+00  1.5494E+00  0.0000E+00  7.6818E-02  0.0000E+00  5.9484E-05  0.0000E+00  4.4720E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9680E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.2969E-05  2.3319E-05 -1.5216E-02  3.1517E-04 -1.0000E+00  2.1768E+04  0.0000E+00  2.0512E+04   3.8307  -0.7578   1.4263   1.3156   0.7209   1.3690   0.8137   0.1320   3.0586  -0.4393   0.2903  -1.2411   7.3305   5.9041   4.5885   3.8676   3.2195   1.6619   2.3436   1.5299   4.1493   4.8788   3.3474  7.1595E-01  8.1447E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  4.4848E-27  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.2995E-21  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  8.1447E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  2.2995E-21  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  6.0263705757E+05  3.624030  0.309911  0.309911    0.70000000     2.69434  3.42  1.679E-07   0.000000  6.302672 13.935111 -0.499152  6.302672  0.000000 -0.499152  6.4281E-07  1.0546E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.991E-01  3.62588 -6.80364  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7942E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.7942E+02  0.0000E+00  1.5599E+00  0.0000E+00  1.0545E-01  0.0000E+00  5.4075E-05  0.0000E+00  4.5339E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9743E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.5177E-05  2.5520E-05 -1.3625E-02  3.5602E-04 -1.0000E+00  1.9859E+04  0.0000E+00  1.8728E+04   3.9752  -0.7662   1.4298   1.3193   0.7257   1.3793   0.8157   0.1326   3.0736  -0.4450   0.2908  -1.2508   7.4905   6.0607   4.7414   4.0156   3.3621   1.8004   2.4835   1.6678   4.2964   5.0322   3.4906  7.1595E-01  5.7480E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.8814E-26  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.8969E-24  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  5.7480E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.8969E-24  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  6.8302535407E+05  3.622444  0.252116  0.252117    0.70000000     2.53885  3.48  1.817E-07   0.000000  6.327414 14.035670 -0.423711  6.327414  0.000000 -0.423711  1.0068E-06  9.2335E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.7000000  9.992E-01  3.62519 -6.76966  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.8138E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.8138E+02  0.0000E+00  1.5720E+00  0.0000E+00  1.6766E-01  0.0000E+00  4.9684E-05  0.0000E+00  4.5644E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9803E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.7571E-05  2.7899E-05 -1.1939E-02  4.0168E-04 -1.0000E+00  1.8135E+04  0.0000E+00  1.7111E+04   4.1197  -0.7753   1.4339   1.3237   0.7311   1.3909   0.8179   0.1335   3.0908  -0.4514   0.2915  -1.2618   7.6526   6.2187   4.8950   4.1639   3.5042   1.9377   2.6221   1.8042   4.4436   5.1865   3.6332  7.1595E-01  4.0561E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.7826E-25  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.7140E-28  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  4.0561E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  4.7140E-28  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
