line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   43.776861  5.425941  4.659179  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6524  4.659179   -6.172  0.503883  7.621488  7.1695202E-01  2.6876133E-01  3.3062617E-05  9.0590618E-06  3.9517832E-03  4.9840334E-03  1.1378848E-05  1.4804404E-08  1.8759336E-03  8.0736411E-05  3.557E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.162239  0.0000000E+00  0.0000000000E+00       4.243     8.28   -8.8149   -4.6546   -1.1839   -0.3526   -0.1507   -0.4433   -0.2393   -0.0384   -1.0099   -0.0795   -0.3074    0.3792         1   -4.1602
  2  8.005044534980190E+04   43.721666  5.428928  4.654858  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6480  4.654858   -6.164  0.484560  7.615487  7.0851063E-01  2.7738278E-01  4.3038057E-05  1.1789729E-05  5.2074841E-03  3.5352582E-03  8.2409012E-06  1.0593140E-08  1.8736383E-03  1.6780461E-05  1.106E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.163555  0.0000000E+00  0.0000000000E+00       4.222     8.47   -8.8223   -4.6927   -1.1827   -0.3513   -0.1502   -0.4417   -0.2384   -0.0383   -1.0059   -0.0790   -0.3063    0.3778         1   -4.1297
  3  1.609428855870095E+05   43.664806  5.432189  4.652378  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6441  4.652378   -6.155  0.475442  7.612873  7.0005663E-01  2.8594724E-01  4.9039765E-05  1.3432325E-05  5.9705210E-03  2.6550475E-03  6.2558045E-06  7.9770714E-09  1.8717897E-03  4.4332482E-06  1.577E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.164996  0.0000000E+00  0.0000000000E+00       4.208     8.60   -8.8305   -4.7181   -1.1821   -0.3506   -0.1499   -0.4408   -0.2379   -0.0382   -1.0036   -0.0788   -0.3057    0.3771         1   -4.1123
  4  2.412953271700294E+05   43.607316  5.435480  4.650585  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6401  4.650585   -6.147  0.470153  7.611530  6.9160942E-01  2.9446983E-01  5.3143477E-05  1.4555499E-05  6.4890757E-03  2.0568536E-03  4.8716185E-06  6.1896864E-09  1.8701454E-03  1.6100600E-06  1.897E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.166460  0.0000000E+00  0.0000000000E+00       4.197     8.71   -8.8387   -4.7388   -1.1816   -0.3500   -0.1496   -0.4401   -0.2375   -0.0381   -1.0020   -0.0786   -0.3053    0.3765         1   -4.0999
  5  3.200221645838791E+05   43.549751  5.438765  4.649153  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6362  4.649153   -6.139  0.466844  7.610835  6.8325326E-01  3.0287972E-01  5.6107485E-05  1.5366924E-05  6.8594384E-03  1.6295699E-03  3.8679114E-06  4.9075721E-09  1.8686313E-03  9.0541901E-07  2.117E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.167937  0.0000000E+00  0.0000000000E+00       4.188     8.80   -8.8469   -4.7569   -1.1812   -0.3496   -0.1495   -0.4396   -0.2372   -0.0380   -1.0007   -0.0784   -0.3049    0.3761         1   -4.0901
  6  3.989104828080679E+05   43.490991  5.442097  4.647861  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6323  4.647861   -6.131  0.464598  7.610493  6.7478328E-01  3.1139040E-01  5.8509788E-05  1.6025776E-05  7.1396021E-03  1.3061024E-03  3.0836787E-06  3.9322898E-09  1.8671700E-03  7.3226289E-07  2.272E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.169451  0.0000000E+00  0.0000000000E+00       4.179     8.89   -8.8552   -4.7740   -1.1810   -0.3492   -0.1493   -0.4392   -0.2369   -0.0380   -0.9994   -0.0783   -0.3047    0.3758         1   -4.0812
  7  4.766974635212627E+05   43.432118  5.445373  4.646690  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6284  4.646690   -6.123  0.463198  7.610432  6.6632520E-01  3.1987942E-01  6.0176251E-05  1.6481756E-05  7.3530659E-03  1.0598987E-03  2.5081858E-06  3.1893343E-09  1.8657614E-03  7.1008622E-07  2.377E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.170957  0.0000000E+00  0.0000000000E+00       4.170     8.97   -8.8634   -4.7902   -1.1809   -0.3488   -0.1492   -0.4390   -0.2366   -0.0379   -0.9982   -0.0783   -0.3045    0.3755         1   -4.0733
  8  5.525925728363895E+05   43.373393  5.448636  4.645563  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6247  4.645563   -6.115  0.462307  7.610524  6.5795857E-01  3.2826974E-01  6.1584014E-05  1.6868396E-05  7.5164096E-03  8.7129152E-04  2.0545496E-06  2.6188510E-09  1.8644018E-03  7.3249441E-07  2.443E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.172473  0.0000000E+00  0.0000000000E+00       4.162     9.05   -8.8716   -4.8060   -1.1808   -0.3485   -0.1492   -0.4387   -0.2363   -0.0379   -0.9971   -0.0782   -0.3043    0.3753         1   -4.0656
  9  6.283080624008094E+05   43.313844  5.451954  4.644468  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6212  4.644468   -6.107  0.461798  7.610741  6.4949805E-01  3.3674903E-01  6.2753233E-05  1.7190125E-05  7.6457122E-03  7.2189916E-04  1.6943337E-06  2.1674777E-09  1.8630526E-03  7.7042746E-07  2.480E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.174025  0.0000000E+00  0.0000000000E+00       4.154     9.13   -8.8799   -4.8217   -1.1807   -0.3481   -0.1491   -0.4385   -0.2360   -0.0378   -0.9960   -0.0781   -0.3041    0.3751         1   -4.0582
 10  7.022549416926584E+05   43.254585  5.455227  4.643415  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6177  4.643415   -6.099  0.461573  7.611042  6.4112323E-01  3.4513837E-01  6.3776632E-05  1.7470515E-05  7.7465661E-03  6.0519273E-04  1.4114073E-06  1.8171390E-09  1.8617348E-03  8.1426415E-07  2.494E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.175573  0.0000000E+00  0.0000000000E+00       4.145     9.21   -8.8881   -4.8369   -1.1805   -0.3478   -0.1490   -0.4382   -0.2358   -0.0378   -0.9949   -0.0780   -0.3040    0.3749         1   -4.0511
