line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    2.600000  1.661211  4.060685  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2071  4.060685    0.000  1.747508  7.380007  7.1696735E-01  2.6865255E-01  1.4419507E-05  3.8334827E-06  3.4162013E-03  5.4623500E-03  1.8630842E-04  6.5252692E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000477  0.0000000E+00  0.0000000000E+00       4.387     1.71    0.5970    1.1564   -0.2607   -0.0840   -0.0220   -0.0959   -0.0386   -0.0072   -0.1543   -0.0209   -0.1002    0.0831         0   -0.5594
  2  1.049594683118238E+07    2.600000  1.660903  4.058244  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2112  4.058244    0.000  1.740285  7.378889  7.0879436E-01  2.7688960E-01  1.6471768E-05  4.3786843E-06  3.9142211E-03  4.7637638E-03  3.2014383E-04  1.0885785E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000477  0.0000000E+00  0.0000000000E+00       4.378     1.73    0.5977    1.1426   -0.2547   -0.0821   -0.0211   -0.0932   -0.0374   -0.0070   -0.1494   -0.0207   -0.0988    0.0809         0   -0.5448
  3  2.058099729097909E+07    2.600000  1.662929  4.056122  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2103  4.056122    0.000  1.734958  7.377721  7.0074304E-01  2.8500953E-01  1.8380496E-05  4.8853860E-06  4.3878802E-03  4.2222600E-03  3.1695683E-04  1.0728527E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000480  0.0000000E+00  0.0000000000E+00       4.367     1.75    0.5927    1.1250   -0.2493   -0.0804   -0.0203   -0.0909   -0.0364   -0.0069   -0.1451   -0.0205   -0.0976    0.0789         0   -0.5323
  4  3.039307975407496E+07    2.600000  1.665255  4.054322  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2093  4.054322    0.000  1.730861  7.376993  6.9276079E-01  2.9305066E-01  1.9988405E-05  5.3122735E-06  4.7868369E-03  3.7837571E-03  2.9557966E-04  9.9771800E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000482  0.0000000E+00  0.0000000000E+00       4.358     1.77    0.5869    1.1087   -0.2447   -0.0790   -0.0196   -0.0889   -0.0355   -0.0067   -0.1414   -0.0204   -0.0966    0.0772         0   -0.5219
  5  4.028191958012825E+07    2.600000  1.667926  4.052762  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2076  4.052762    0.000  1.727767  7.376634  6.8460313E-01  3.0125985E-01  2.1397047E-05  5.6863925E-06  5.1329685E-03  3.4084443E-03  2.7156091E-04  9.1529536E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000486  0.0000000E+00  0.0000000000E+00       4.349     1.79    0.5802    1.0930   -0.2405   -0.0777   -0.0190   -0.0872   -0.0348   -0.0066   -0.1382   -0.0203   -0.0957    0.0757         0   -0.5129
  6  4.996105807543608E+07    2.600000  1.670776  4.051353  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2060  4.051353    0.000  1.725360  7.376454  6.7650401E-01  3.0940304E-01  2.2606696E-05  6.0077216E-06  5.4287277E-03  3.0900333E-03  2.4860245E-04  8.3723529E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000488  0.0000000E+00  0.0000000000E+00       4.341     1.80    0.5731    1.0778   -0.2367   -0.0766   -0.0185   -0.0856   -0.0341   -0.0065   -0.1353   -0.0202   -0.0949    0.0743         0   -0.5048
  7  5.933880234641294E+07    2.600000  1.673920  4.050129  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2050  4.050129    0.000  1.723768  7.376456  6.6853972E-01  3.1740524E-01  2.3656617E-05  6.2867399E-06  5.6821542E-03  2.8183135E-03  2.2772053E-04  7.6683494E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000492  0.0000000E+00  0.0000000000E+00       4.333     1.82    0.5652    1.0630   -0.2334   -0.0756   -0.0180   -0.0843   -0.0335   -0.0064   -0.1328   -0.0202   -0.0942    0.0731         0   -0.4978
  8  6.871654658813576E+07    2.600000  1.676895  4.048894  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2033  4.048894    0.000  1.722165  7.376520  6.6044213E-01  3.2553684E-01  2.4599239E-05  6.5372757E-06  5.9090189E-03  2.5758967E-03  2.0814741E-04  7.0106194E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000495  0.0000000E+00  0.0000000000E+00       4.325     1.84    0.5578    1.0486   -0.2301   -0.0746   -0.0175   -0.0829   -0.0329   -0.0063   -0.1302   -0.0201   -0.0934    0.0719         0   -0.4908
  9  7.779290148843980E+07    2.600000  1.680018  4.047790  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2020  4.047790    0.000  1.721055  7.376742  6.5250577E-01  3.3350286E-01  2.5435643E-05  6.7597344E-06  6.1060204E-03  2.3657973E-03  1.9068667E-04  6.4273541E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000499  0.0000000E+00  0.0000000000E+00       4.317     1.85    0.5500    1.0346   -0.2270   -0.0737   -0.0171   -0.0816   -0.0324   -0.0062   -0.1279   -0.0200   -0.0928    0.0708         0   -0.4846
 10  8.699193984261221E+07    2.600000  1.683296  4.046707  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2007  4.046707    0.000  1.720265  7.377044  6.4435097E-01  3.4168474E-01  2.6211146E-05  6.9660806E-06  6.2866962E-03  2.1735940E-03  1.7414282E-04  5.8754240E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000503  0.0000000E+00  0.0000000000E+00       4.309     1.87    0.5418    1.0203   -0.2240   -0.0728   -0.0167   -0.0804   -0.0319   -0.0061   -0.1257   -0.0199   -0.0922    0.0698         0   -0.4786
 11  9.574797096385804E+07    2.600000  1.686543  4.045742  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1993  4.045742    0.000  1.719779  7.377496  6.3645094E-01  3.4960844E-01  2.6908738E-05  7.1518993E-06  6.4437106E-03  2.0068556E-03  1.5941127E-04  5.3857294E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000507  0.0000000E+00  0.0000000000E+00       4.302     1.88    0.5336    1.0069   -0.2214   -0.0720   -0.0163   -0.0792   -0.0314   -0.0060   -0.1236   -0.0199   -0.0916    0.0688         0   -0.4732
 12  1.047304458531014E+08    2.600000  1.689838  4.044703  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1976  4.044703    0.000  1.719295  7.377941  6.2820756E-01  3.5787407E-01  2.7566010E-05  7.3269994E-06  6.5911488E-03  1.8504163E-03  1.4543669E-04  4.9208032E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000511  0.0000000E+00  0.0000000000E+00       4.295     1.90    0.5254    0.9929   -0.2185   -0.0712   -0.0158   -0.0780   -0.0309   -0.0059   -0.1215   -0.0198   -0.0910    0.0678         0   -0.4675
 13  1.131704156769652E+08    2.600000  1.692929  4.043717  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1963  4.043717    0.000  1.718922  7.378411  6.2034119E-01  3.6575951E-01  2.8141529E-05  7.4804050E-06  6.7180799E-03  1.7157830E-03  1.3333855E-04  4.5185411E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000514  0.0000000E+00  0.0000000000E+00       4.288     1.92    0.5177    0.9797   -0.2157   -0.0704   -0.0154   -0.0769   -0.0304   -0.0059   -0.1194   -0.0198   -0.0904    0.0668         0   -0.4621
 14  1.218311570999775E+08    2.600000  1.696231  4.042726  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1944  4.042726    0.000  1.718692  7.378952  6.1216377E-01  3.7395504E-01  2.8697982E-05  7.6288443E-06  6.8376169E-03  1.5890558E-03  1.2185246E-04  4.1371034E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000518  0.0000000E+00  0.0000000000E+00       4.281     1.93    0.5094    0.9661   -0.2130   -0.0695   -0.0150   -0.0757   -0.0300   -0.0058   -0.1173   -0.0197   -0.0898    0.0658         0   -0.4566
 15  1.302711295607972E+08    2.600000  1.699642  4.041743  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1936  4.041743    0.000  1.718869  7.379446  6.0405045E-01  3.8208455E-01  2.9197640E-05  7.7621355E-06  6.9450130E-03  1.4751584E-03  1.1157740E-04  3.7951788E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000522  0.0000000E+00  0.0000000000E+00       4.273     1.95    0.5009    0.9522   -0.2102   -0.0687   -0.0146   -0.0746   -0.0295   -0.0057   -0.1153   -0.0196   -0.0892    0.0648         0   -0.4513
 16  1.383957178369250E+08    2.600000  1.702752  4.040774  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1919  4.040774    0.000  1.718859  7.380025  5.9613074E-01  3.9001869E-01  2.9659376E-05  7.8854624E-06  7.0403308E-03  1.3740878E-03  1.0240706E-04  3.4902799E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000526  0.0000000E+00  0.0000000000E+00       4.266     1.96    0.4931    0.9392   -0.2075   -0.0679   -0.0142   -0.0735   -0.0290   -0.0056   -0.1132   -0.0196   -0.0886    0.0638         0   -0.4460
 17  1.464799155721473E+08    2.600000  1.705928  4.039834  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1905  4.039834    0.000  1.719003  7.380706  5.8811864E-01  3.9804412E-01  3.0103690E-05  8.0042887E-06  7.1283511E-03  1.2808055E-03  9.3853193E-05  3.2058160E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000530  0.0000000E+00  0.0000000000E+00       4.259     1.98    0.4852    0.9261   -0.2049   -0.0671   -0.0138   -0.0723   -0.0286   -0.0055   -0.1113   -0.0195   -0.0880    0.0628         0   -0.4410
 18  1.545641073237830E+08    2.600000  1.709402  4.038892  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1895  4.038892    0.000  1.719599  7.381357  5.7999099E-01  4.0618412E-01  3.0521131E-05  8.1159689E-06  7.2096812E-03  1.1945252E-03  8.6031211E-05  2.9454127E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000534  0.0000000E+00  0.0000000000E+00       4.252     2.00    0.4765    0.9124   -0.2023   -0.0663   -0.0134   -0.0712   -0.0281   -0.0054   -0.1093   -0.0195   -0.0875    0.0619         0   -0.4359
