line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.581768  0.298071  0.298067    0.40000000     3.22858  3.03  1.419E-07   0.000000  5.996638 13.175900 -0.947357  5.996638  0.000000 -0.947357  3.9229E-27  1.7896E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.4000000  9.983E-01  3.57980 -6.89223  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1763E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.1763E+02  0.0000E+00  1.4412E+00  0.0000E+00  6.7490E-03  0.0000E+00  1.6008E-04  0.0000E+00  4.0151E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.8854E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.4187E-05  1.4709E-05 -3.6795E-02  1.4876E-04 -1.0000E+00  3.5249E+04  0.0000E+00  3.2230E+04   4.0048  -1.0932   1.6674   1.4867   0.8626   1.6943   0.9186   0.1665   3.6710  -0.6326   0.2982  -1.5518   8.2522   6.5847   5.0981   4.2354   3.4038   1.5935   2.3456   1.4271   4.4654   5.3963   3.5462  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.9378E-39  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.9378E-39  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  3.2227175614E+04  3.579752  0.220000  0.220003    0.40000000     2.97870  3.10  1.565E-07   0.000000  6.029415 13.308562 -0.847958  6.029415  0.000000 -0.847958  5.7839E-26  1.4945E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.4000000  9.984E-01  3.57962 -6.85331  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1882E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.1882E+02  0.0000E+00  1.4527E+00  0.0000E+00  1.9003E-02  0.0000E+00  1.3849E-04  0.0000E+00  4.0782E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.8997E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.6047E-05  1.6598E-05 -3.4311E-02  1.7516E-04 -1.0000E+00  3.1162E+04  0.0000E+00  2.8531E+04   4.2000  -1.1192   1.6585   1.4904   0.8716   1.7173   0.9204   0.1679   3.7023  -0.6471   0.2980  -1.5740   8.4681   6.8095   5.3192   4.4476   3.6019   1.7848   2.5372   1.6169   4.6721   5.6172   3.7452  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.3263E-38  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  3.3263E-38  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  7.3542230990E+04  3.577588  0.141930  0.141930    0.40000000     2.74986  3.16  1.726E-07   0.000000  6.061763 13.440589 -0.748944  6.061763  0.000000 -0.748944  1.1053E-20  1.2479E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.4000000  9.986E-01  3.57969 -6.81274  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.2006E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.2006E+02  0.0000E+00  1.4640E+00  0.0000E+00  1.4274E-02  0.0000E+00  1.1603E-04  0.0000E+00  4.1414E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9136E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.8135E-05  1.8711E-05 -3.1778E-02  2.0605E-04 -1.0000E+00  2.7573E+04  0.0000E+00  2.5284E+04   4.3952  -1.1478   1.6485   1.4947   0.8811   1.7423   0.9224   0.1695   3.7366  -0.6630   0.2977  -1.5982   8.6862   7.0377   5.5430   4.6619   3.8007   1.9759   2.7289   1.8065   4.8800   5.8407   3.9448  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  6.9611E-37  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  6.9611E-37  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  1.2660087248E+05  3.575297  0.063860  0.063862    0.40000000     2.54018  3.23  1.906E-07   0.000000  6.094002 13.571963 -0.650460  6.094002  0.000000 -0.650460  1.0132E-02  1.0425E+01  0.0000E+00  0.0247356  6.176E-02  0.22201 -0.41929  0.4000000  9.987E-01  3.58070 -6.76702  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1356E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.2125E+02  0.0000E+00  1.4766E+00  0.0000E+00  5.3650E-03  0.0000E+00  9.7239E-05  0.0000E+00  4.2341E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.8079E-01  1.1894E-02  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.0477E-05  2.1075E-05 -2.9188E-02  2.4209E-04 -1.0000E+00  2.4419E+04  1.5199E+03  2.2420E+04   4.5903  -1.1789   1.6370   1.4988   0.8911   1.7690   0.9243   0.1714   3.7734  -0.6802   0.2972  -1.6241   8.9050   7.2681   5.7692   4.8782   4.0002   2.1673   2.9202   1.9958   5.0890   6.0664   4.1452  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  5.2526E-38  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  7.1704E-19  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  7.1832E-19  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  9.6783398434E+05  3.572840 -0.014210 -0.526337    0.40000000     2.34780  3.30  2.101E-07   0.000000  6.126000 13.702753 -0.552391  6.126000  0.000000 -0.552391  2.1715E+02  2.6840E+00  0.0000E+00  0.0079474  1.984E-02  0.07130 -0.13378  0.4000000  9.988E-01  3.58004 -6.72966  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.0830E+01  0.0000E+00  0.0000E+00  0.0000E+00  4.1649E+01  0.0000E+00  1.0057E+00  0.0000E+00  2.5261E-02  0.0000E+00  8.1632E-05  0.0000E+00  3.8771E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9008E-01  3.8477E-03  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.3106E-05  2.3718E-05 -2.6454E-02  2.8419E-04 -1.0000E+00  2.1640E+04  4.3113E+02  1.9893E+04   4.7855  -1.2120   1.6237   1.5027   0.9013   1.7974   0.9261   0.1738   3.8126  -0.6985   0.2966  -1.6516   9.1239   7.5002   5.9976   5.0962   4.2002   2.3588   3.1111   2.1850   5.2991   6.2941   4.3460  7.1595E-01  2.2670E-06  9.8361E-05  2.6996E-01  7.4158E-10  1.0120E-08  3.9288E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0408E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  2.2656E-06  9.8363E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.0461E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  1.1003120371E+06  3.570495 -0.092281 -0.100806    0.40000000     2.16916  3.37  2.320E-07   0.000000  6.158325 13.834718 -0.453423  6.158325  0.000000 -0.453423  2.3104E+00  7.1380E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.4000000  9.989E-01  3.57982 -6.68842  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1333E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.1333E+02  0.0000E+00  1.4550E+00  0.0000E+00  2.9553E-02  0.0000E+00  6.8317E-05  0.0000E+00  4.3416E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9513E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.6089E-05  2.6707E-05 -2.3674E-02  3.3381E-04 -1.0000E+00  1.9167E+04  0.0000E+00  1.7638E+04   4.9807  -1.2429   1.6089   1.5056   0.9107   1.8239   0.9272   0.1761   3.8483  -0.7157   0.2959  -1.6773   9.3382   7.7292   6.2236   5.3129   4.3997   2.5514   3.3025   2.3753   5.5079   6.5195   4.5463  7.1595E-01  6.7565E-09  1.0175E-04  2.6996E-01  7.4158E-10  1.0120E-08  3.7156E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  6.6769E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  6.7565E-09  1.0175E-04  2.6996E-01  2.4475E-03  2.9658E-05  6.6769E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  1.2154866834E+06  3.568148 -0.170350 -0.170348    0.40000000     2.00423  3.44  2.569E-07   0.000000  6.190594 13.967008 -0.354131  6.190594  0.000000 -0.354131  4.9191E-07  6.0850E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.4000000  9.990E-01  3.57949 -6.64446  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.2490E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.2490E+02  0.0000E+00  1.5170E+00  0.0000E+00  1.8610E-02  0.0000E+00  5.7597E-05  0.0000E+00  4.4299E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9625E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.9455E-05  3.0070E-05 -2.0871E-02  3.9207E-04 -1.0000E+00  1.6976E+04  0.0000E+00  1.5640E+04   5.1759  -1.2732   1.5930   1.5085   0.9198   1.8498   0.9278   0.1781   3.8826  -0.7327   0.2951  -1.7025   9.5506   7.9576   6.4491   5.5293   4.5993   2.7446   3.4943   2.5665   5.7164   6.7442   4.7466  7.1595E-01  3.7986E-16  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.6279E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.8309E-21  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.7986E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  3.8309E-21  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  1.3641598812E+06  3.565836 -0.248420 -0.248427    0.40000000     1.85201  3.51  2.853E-07   0.000000  6.223161 14.099715 -0.254499  6.223161  0.000000 -0.254499  3.5715E-07  5.0877E+00  0.0000E+00  0.0426646  1.067E-01  0.37356 -0.78002  0.4000000  9.991E-01  3.57704 -6.60832  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1224E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.2606E+02  0.0000E+00  1.5301E+00  0.0000E+00  2.1445E-01  0.0000E+00  4.9334E-05  0.0000E+00  4.5035E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.7626E-01  2.1022E-02  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.3252E-05  3.3853E-05 -1.8068E-02  4.6042E-04 -1.0000E+00  1.5037E+04  1.6347E+03  1.3871E+04   5.3711  -1.3031   1.5761   1.5113   0.9286   1.8751   0.9281   0.1797   3.9156  -0.7493   0.2942  -1.7272   9.7616   8.1855   6.6742   5.7456   4.7991   2.9383   3.6867   2.7586   5.9249   6.9684   4.9470  7.1595E-01  1.6143E-16  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.7517E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  6.0367E-27  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.6038E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  6.0367E-27  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  1.5568559488E+06  3.563503 -0.326491 -0.326495    0.40000000     1.71104  3.58  3.182E-07   0.000000  6.256072 14.233294 -0.154183  6.256072  0.000000 -0.154183  7.5804E-07  4.2545E+00  0.0000E+00  0.0803809  2.009E-01  0.71151 -1.38707  0.4000000  9.992E-01  3.57129 -6.58967  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0131E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.2718E+02  0.0000E+00  1.5435E+00  0.0000E+00  1.6676E-01  0.0000E+00  4.2656E-05  0.0000E+00  4.5424E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.5842E-01  3.9818E-02  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.7549E-05  3.8122E-05 -1.5238E-02  5.4085E-04 -1.0000E+00  1.3316E+04  2.6825E+03  1.2297E+04   5.5662  -1.3340   1.5561   1.5139   0.9371   1.9010   0.9281   0.1812   3.9479  -0.7664   0.2932  -1.7524   9.9702   8.4141   6.9002   5.9631   4.9992   3.1335   3.8804   2.9523   6.1338   7.1934   5.1478  7.1595E-01  1.1526E-16  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.4641E-27  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.4535E-31  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.0848E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  5.4527E-31  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
