line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    7.799993  3.379394  4.358017  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3075  4.358017  -10.786  1.160170  7.498041  7.1696049E-01  2.6873081E-01  2.3947374E-05  6.4281965E-06  3.8077923E-03  5.1463977E-03  2.9651465E-05  2.3855066E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008179  0.0000000E+00  0.0000000000E+00       4.336     3.14   -3.6985   -1.3781   -0.8876   -0.2627   -0.1107   -0.3309   -0.1611   -0.0247   -0.6773   -0.0522   -0.2345    0.2841         1   -2.3203
  2  8.170830573777198E+05    7.799978  3.381562  4.354107  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3106  4.354107  -10.783  1.143116  7.493434  7.0870658E-01  2.7713673E-01  3.0057148E-05  8.0665677E-06  4.8535279E-03  3.9461489E-03  2.4276350E-05  1.8816605E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008221  0.0000000E+00  0.0000000000E+00       4.318     3.21   -3.7039   -1.4027   -0.8820   -0.2610   -0.1098   -0.3290   -0.1601   -0.0244   -0.6724   -0.0518   -0.2334    0.2826         1   -2.3012
  3  1.605771418109487E+06    7.799963  3.385455  4.351867  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3085  4.351867  -10.771  1.134080  7.491238  7.0059117E-01  2.8534949E-01  3.3948657E-05  9.1100425E-06  5.5225403E-03  3.1788999E-03  2.0216365E-05  1.5384642E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008295  0.0000000E+00  0.0000000000E+00       4.305     3.25   -3.7136   -1.4233   -0.8788   -0.2601   -0.1092   -0.3280   -0.1594   -0.0243   -0.6697   -0.0516   -0.2327    0.2817         1   -2.2904
  4  2.370304821144136E+06    7.799948  3.389534  4.350297  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3056  4.350297  -10.759  1.128158  7.490129  6.9261363E-01  2.9339664E-01  3.6744605E-05  9.8598321E-06  6.0003603E-03  2.6311568E-03  1.7033135E-05  1.2837793E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008373  0.0000000E+00  0.0000000000E+00       4.295     3.29   -3.7238   -1.4410   -0.8766   -0.2594   -0.1089   -0.3272   -0.1590   -0.0242   -0.6678   -0.0515   -0.2323    0.2810         1   -2.2828
  5  3.134446682993726E+06    7.799933  3.393998  4.349060  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3033  4.349060  -10.744  1.123982  7.489525  6.8448594E-01  3.0157857E-01  3.8945928E-05  1.0450264E-05  6.3728314E-03  2.2042744E-03  1.4412131E-05  1.0804801E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008459  0.0000000E+00  0.0000000000E+00       4.285     3.33   -3.7350   -1.4582   -0.8749   -0.2589   -0.1086   -0.3266   -0.1587   -0.0241   -0.6663   -0.0514   -0.2319    0.2806         1   -2.2768
  6  3.898587961134183E+06    7.799917  3.398593  4.348003  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3006  4.348003  -10.728  1.120777  7.489240  6.7622763E-01  3.0988015E-01  4.0726487E-05  1.0927938E-05  6.6703725E-03  1.8633035E-03  1.2241279E-05  9.1539006E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008550  0.0000000E+00  0.0000000000E+00       4.276     3.36   -3.7465   -1.4748   -0.8734   -0.2585   -0.1084   -0.3262   -0.1584   -0.0241   -0.6650   -0.0513   -0.2316    0.2801         1   -2.2717
  7  4.623067469549151E+06    7.799902  3.402968  4.347108  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2979  4.347108  -10.714  1.118316  7.489220  6.6825456E-01  3.1788695E-01  4.2134129E-05  1.1305670E-05  6.9015193E-03  1.5984239E-03  1.0505307E-05  7.8540817E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008637  0.0000000E+00  0.0000000000E+00       4.269     3.39   -3.7574   -1.4901   -0.8722   -0.2581   -0.1082   -0.3257   -0.1582   -0.0240   -0.6639   -0.0512   -0.2314    0.2798         1   -2.2673
  8  5.349177676852928E+06    7.799885  3.407579  4.346299  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2956  4.346299  -10.697  1.116464  7.489358  6.6011178E-01  3.2605794E-01  4.3334985E-05  1.1628017E-05  7.0946673E-03  1.3770713E-03  9.0295917E-06  6.7590992E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008729  0.0000000E+00  0.0000000000E+00       4.261     3.42   -3.7689   -1.5056   -0.8711   -0.2578   -0.1080   -0.3254   -0.1580   -0.0240   -0.6630   -0.0511   -0.2311    0.2795         1   -2.2634
  9  6.058976995527824E+06    7.799869  3.412061  4.345542  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2928  4.345542  -10.683  1.114877  7.489630  6.5201764E-01  3.3417516E-01  4.4343245E-05  1.1898755E-05  7.2532150E-03  1.1953481E-03  7.8029247E-06  5.8549077E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008820  0.0000000E+00  0.0000000000E+00       4.253     3.45   -3.7802   -1.5205   -0.8700   -0.2575   -0.1078   -0.3250   -0.1578   -0.0239   -0.6621   -0.0510   -0.2309    0.2792         1   -2.2597
 10  6.762441230513925E+06    7.799852  3.416733  4.344850  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2906  4.344850  -10.667  1.113721  7.490050  6.4382427E-01  3.4238810E-01  4.5221155E-05  1.2134610E-05  7.3867584E-03  1.0422466E-03  6.7590458E-06  5.0894490E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.008916  0.0000000E+00  0.0000000000E+00       4.246     3.48   -3.7918   -1.5355   -0.8691   -0.2572   -0.1077   -0.3247   -0.1576   -0.0239   -0.6613   -0.0510   -0.2307    0.2789         1   -2.2563
 11  7.435488498126785E+06    7.799836  3.421277  4.344194  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2882  4.344194  -10.650  1.112842  7.490493  6.3584742E-01  3.5038082E-01  4.5958480E-05  1.2332782E-05  7.4958089E-03  9.1719259E-04  5.9049116E-06  4.4636877E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009009  0.0000000E+00  0.0000000000E+00       4.239     3.51   -3.8032   -1.5501   -0.8682   -0.2569   -0.1075   -0.3244   -0.1574   -0.0239   -0.6605   -0.0509   -0.2305    0.2786         1   -2.2531
 12  8.105368392104039E+06    7.799818  3.425732  4.343528  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2856  4.343528  -10.636  1.112021  7.490996  6.2775163E-01  3.5849028E-01  4.6609061E-05  1.2507704E-05  7.5891790E-03  8.1008842E-04  5.1731765E-06  3.9275720E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009102  0.0000000E+00  0.0000000000E+00       4.231     3.54   -3.8143   -1.5645   -0.8673   -0.2567   -0.1074   -0.3241   -0.1572   -0.0238   -0.6597   -0.0508   -0.2303    0.2784         1   -2.2498
 13  8.775248172844676E+06    7.799801  3.430371  4.342871  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2832  4.342871  -10.620  1.111470  7.491537  6.1950852E-01  3.6674517E-01  4.7189962E-05  1.2663983E-05  7.6694814E-03  7.1793585E-04  4.5464905E-06  3.4675130E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009200  0.0000000E+00  0.0000000000E+00       4.224     3.57   -3.8259   -1.5793   -0.8664   -0.2564   -0.1073   -0.3238   -0.1570   -0.0238   -0.6590   -0.0508   -0.2301    0.2781         1   -2.2466
 14  9.424110673404384E+06    7.799783  3.434817  4.342229  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2807  4.342229  -10.604  1.110979  7.492139  6.1138006E-01  3.7488345E-01  4.7698344E-05  1.2800832E-05  7.7365521E-03  6.4093025E-04  4.0216789E-06  3.0826772E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009295  0.0000000E+00  0.0000000000E+00       4.217     3.60   -3.8370   -1.5935   -0.8656   -0.2561   -0.1071   -0.3235   -0.1569   -0.0238   -0.6582   -0.0507   -0.2299    0.2778         1   -2.2435
 15  1.004508336455314E+07    7.799765  3.439258  4.341622  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2784  4.341622  -10.589  1.110784  7.492750  6.0344338E-01  3.8282826E-01  4.8142842E-05  1.2920561E-05  7.7923731E-03  5.7680549E-04  3.5844227E-06  2.7620728E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009391  0.0000000E+00  0.0000000000E+00       4.210     3.63   -3.8481   -1.6076   -0.8647   -0.2559   -0.1070   -0.3232   -0.1567   -0.0237   -0.6575   -0.0507   -0.2298    0.2776         1   -2.2405
 16  1.067207974664075E+07    7.799747  3.443677  4.340982  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2759  4.340982  -10.574  1.110498  7.493431  5.9529533E-01  3.9098358E-01  4.8553719E-05  1.3031303E-05  7.8412979E-03  5.2056693E-04  3.2014896E-06  2.4810654E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009486  0.0000000E+00  0.0000000000E+00       4.203     3.66   -3.8592   -1.6217   -0.8639   -0.2556   -0.1069   -0.3229   -0.1566   -0.0237   -0.6568   -0.0506   -0.2296    0.2773         1   -2.2375
 17  1.128812149993288E+07    7.799728  3.448216  4.340357  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2735  4.340357  -10.558  1.110504  7.494138  5.8711916E-01  3.9916581E-01  4.8927930E-05  1.3132246E-05  7.8831636E-03  4.7240288E-04  2.8760207E-06  2.2415601E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009587  0.0000000E+00  0.0000000000E+00       4.196     3.69   -3.8705   -1.6361   -0.8630   -0.2554   -0.1067   -0.3226   -0.1564   -0.0237   -0.6561   -0.0505   -0.2294    0.2771         1   -2.2344
 18  1.188931356166830E+07    7.799708  3.452667  4.339727  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2713  4.339727  -10.543  1.110594  7.494843  5.7901270E-01  4.0727753E-01  4.9264392E-05  1.3223058E-05  7.9186585E-03  4.3153611E-04  2.6000702E-06  2.0383474E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009686  0.0000000E+00  0.0000000000E+00       4.189     3.72   -3.8817   -1.6503   -0.8622   -0.2551   -0.1066   -0.3223   -0.1562   -0.0236   -0.6553   -0.0505   -0.2292    0.2769         1   -2.2314
 19  1.247641861705212E+07    7.799690  3.457038  4.339099  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2688  4.339099  -10.529  1.110700  7.495616  5.7090750E-01  4.1538720E-01  4.9579624E-05  1.3308224E-05  7.9490538E-03  3.9649693E-04  2.3622346E-06  1.8636777E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009784  0.0000000E+00  0.0000000000E+00       4.182     3.75   -3.8926   -1.6642   -0.8613   -0.2549   -0.1065   -0.3220   -0.1561   -0.0236   -0.6546   -0.0504   -0.2290    0.2766         1   -2.2284
 20  1.305908862727872E+07    7.799670  3.461530  4.338445  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2667  4.338445  -10.514  1.110933  7.496361  5.6274356E-01  4.2355508E-01  4.9868314E-05  1.3386270E-05  7.9752735E-03  3.6624138E-04  2.1590872E-06  1.7136113E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.009886  0.0000000E+00  0.0000000000E+00       4.175     3.78   -3.9038   -1.6785   -0.8605   -0.2546   -0.1063   -0.3217   -0.1559   -0.0236   -0.6539   -0.0504   -0.2289    0.2763         1   -2.2253
