line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    1.200000  0.221161  3.795987  7.2000000E-01  2.6595590E-01  2.2831520E-03  2.7707440E-05  6.5875800E-04  5.7184750E-03  2.2656010E-06  1.2899740E-05  1.8768900E-03  1.5180830E-04  0.000E+00  0.0178  3.795987    0.000  1.929691  7.186901  7.1688480E-01  2.6871182E-01  2.6515065E-05  8.5373521E-06  3.3220147E-03  5.7164660E-03  4.5825075E-06  2.9513057E-06  1.8768900E-03  1.5180830E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.433     1.10    4.1971    4.2319    0.0984    0.5245    0.3017    0.5760    0.3193    0.0498    1.2494   -0.0991    0.1640   -0.5090         0   -0.0348
  2  6.712646041294412E+07    1.200000  0.225855  3.796323  7.2025988E-01  2.6570305E-01  2.2815802E-03  2.7686408E-05  6.5833379E-04  5.7149872E-03  2.2641177E-06  1.2890696E-05  1.8758499E-03  1.5171400E-04  0.000E+00  0.0133  3.796323    0.000  1.937084  7.188366  7.0870502E-01  2.7688962E-01  1.2178417E-05  3.3279774E-06  3.3465440E-03  5.7078627E-03  1.5463110E-05  3.1101803E-08  1.8771605E-03  1.5183283E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.430     1.11    4.1854    4.2197    0.0975    0.5231    0.3010    0.5749    0.3184    0.0496    1.2465   -0.0987    0.1636   -0.5079         0   -0.0343
  3  1.303548182520679E+08    1.200000  0.228830  3.796451  7.2056060E-01  2.6541047E-01  2.2797552E-03  2.7662005E-05  6.5784115E-04  5.7109364E-03  2.2623952E-06  1.2880197E-05  1.8746412E-03  1.5160447E-04  0.000E+00  0.0132  3.796451    0.000  1.941867  7.189640  7.0088627E-01  2.8470627E-01  1.2246473E-05  3.3467838E-06  3.3465033E-03  5.6990310E-03  2.6686934E-05  6.7748868E-09  1.8774706E-03  1.5186099E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.427     1.11    4.1779    4.2121    0.0971    0.5225    0.3007    0.5744    0.3181    0.0496    1.2454   -0.0986    0.1635   -0.5075         0   -0.0341
  4  1.936047298815515E+08    1.200000  0.231651  3.796568  7.2085991E-01  2.6511927E-01  2.2779334E-03  2.7637649E-05  6.5734918E-04  5.7068901E-03  2.2606752E-06  1.2869713E-05  1.8734338E-03  1.5149506E-04  0.000E+00  0.0131  3.796568    0.000  1.946600  7.190920  6.9301885E-01  2.9257145E-01  1.2314014E-05  3.3654372E-06  3.3464854E-03  5.6895955E-03  3.8558664E-05  8.6831861E-09  1.8777877E-03  1.5188979E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.425     1.11    4.1709    4.2048    0.0967    0.5220    0.3005    0.5740    0.3178    0.0495    1.2443   -0.0985    0.1634   -0.5071         0   -0.0340
  5  2.593648653477015E+08    1.200000  0.234567  3.796701  7.2119522E-01  2.6479313E-01  2.2758864E-03  2.7610291E-05  6.5679634E-04  5.7023417E-03  2.2587419E-06  1.2857936E-05  1.8720757E-03  1.5137208E-04  0.000E+00  0.0129  3.796701    0.000  1.951546  7.192270  6.8479138E-01  3.0079635E-01  1.2385923E-05  3.3852927E-06  3.3465838E-03  5.6794475E-03  5.1351223E-05  1.1671522E-08  1.8781565E-03  1.5192329E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.422     1.11    4.1636    4.1974    0.0963    0.5214    0.3002    0.5735    0.3175    0.0495    1.2432   -0.0984    0.1633   -0.5067         0   -0.0338
  6  3.207033225538027E+08    1.200000  0.237281  3.796791  7.2146170E-01  2.6453392E-01  2.2742559E-03  2.7588506E-05  6.5635575E-04  5.6987163E-03  2.2572015E-06  1.2848550E-05  1.8709928E-03  1.5127405E-04  0.000E+00  0.0127  3.796791    0.000  1.956195  7.193566  6.7708078E-01  3.0850470E-01  1.2454884E-05  3.4043403E-06  3.3466107E-03  5.6687411E-03  6.4414841E-05  1.4791573E-08  1.8784589E-03  1.5195072E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.420     1.12    4.1568    4.1904    0.0960    0.5210    0.3000    0.5732    0.3172    0.0494    1.2424   -0.0983    0.1632   -0.5064         0   -0.0336
  7  3.853270412173834E+08    1.200000  0.240153  3.796877  7.2179270E-01  2.6421203E-01  2.2722262E-03  2.7561394E-05  6.5580719E-04  5.6942012E-03  2.2552832E-06  1.2836869E-05  1.8696439E-03  1.5115197E-04  0.000E+00  0.0126  3.796877    0.000  1.961143  7.194929  6.6890921E-01  3.1667348E-01  1.2528831E-05  3.4247610E-06  3.3468391E-03  5.6574322E-03  7.8372583E-05  1.8142287E-08  1.8788450E-03  1.5198572E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.417     1.12    4.1496    4.1831    0.0957    0.5206    0.2998    0.5729    0.3170    0.0494    1.2416   -0.0982    0.1631   -0.5061         0   -0.0335
  8  4.455139454297852E+08    1.200000  0.242859  3.796957  7.2205586E-01  2.6395611E-01  2.2706094E-03  2.7539804E-05  6.5537008E-04  5.6906029E-03  2.2537549E-06  1.2827560E-05  1.8685684E-03  1.5105470E-04  0.000E+00  0.0125  3.796957    0.000  1.965807  7.196239  6.6125598E-01  3.2432439E-01  1.2599802E-05  3.4443661E-06  3.3470122E-03  5.6455264E-03  9.2602460E-05  2.1594684E-08  1.8791602E-03  1.5201427E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.415     1.12    4.1429    4.1762    0.0954    0.5202    0.2996    0.5726    0.3168    0.0494    1.2408   -0.0981    0.1630   -0.5059         0   -0.0334
  9  5.089857841114706E+08    1.200000  0.245727  3.797042  7.2238280E-01  2.6363818E-01  2.2685969E-03  2.7512941E-05  6.5482593E-04  5.6861223E-03  2.2518519E-06  1.2815978E-05  1.8672291E-03  1.5093354E-04  0.000E+00  0.0112  3.797042    0.000  1.970865  7.197579  6.5310514E-01  3.3247245E-01  1.2711110E-05  3.4751234E-06  3.3473599E-03  5.6327140E-03  1.0803578E-04  2.5416914E-08  1.8795619E-03  1.5205068E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00       4.413     1.13    4.1357    4.1689    0.0951    0.5199    0.2994    0.5723    0.3165    0.0493    1.2401   -0.0980    0.1629   -0.5056         0   -0.0332
