line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    6.199999  3.037242  4.301428  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2858  4.301428   -7.312  1.279657  7.477428  7.1686018E-01  2.6882480E-01  2.2210771E-05  5.9557938E-06  3.7760346E-03  5.1713362E-03  4.4789904E-05  2.8870304E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.004995  0.0000000E+00  0.0000000000E+00       4.352     2.75   -2.8431   -0.7238   -0.8074   -0.2401   -0.0993   -0.3043   -0.1464   -0.0223   -0.6140   -0.0470   -0.2182    0.2616         1   -2.1193
  2  1.252525899785179E+06    6.199997  3.038781  4.297586  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2887  4.297586   -7.309  1.263900  7.473155  7.0871309E-01  2.7711381E-01  2.7555448E-05  7.3875044E-06  4.7523547E-03  4.0528068E-03  3.8233689E-05  2.3650904E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005015  0.0000000E+00  0.0000000000E+00       4.335     2.80   -2.8470   -0.7410   -0.8018   -0.2385   -0.0986   -0.3024   -0.1454   -0.0222   -0.6098   -0.0466   -0.2170    0.2600         1   -2.1060
  3  2.480417725750220E+06    6.199995  3.042278  4.295296  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2862  4.295296   -7.300  1.255239  7.471069  7.0059185E-01  2.8532942E-01  3.1096943E-05  8.3361574E-06  5.4010307E-03  3.3107962E-03  3.2672561E-05  1.9783928E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005056  0.0000000E+00  0.0000000000E+00       4.322     2.84   -2.8557   -0.7580   -0.7985   -0.2376   -0.0982   -0.3013   -0.1448   -0.0222   -0.6072   -0.0464   -0.2163    0.2590         1   -2.0977
  4  3.667513535233570E+06    6.199993  3.046128  4.293697  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2838  4.293697   -7.290  1.249655  7.470083  6.9259910E-01  2.9339068E-01  3.3681742E-05  9.0286102E-06  5.8712828E-03  2.7734450E-03  2.8012064E-05  1.6778402E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005102  0.0000000E+00  0.0000000000E+00       4.312     2.88   -2.8653   -0.7736   -0.7961   -0.2370   -0.0979   -0.3004   -0.1443   -0.0221   -0.6054   -0.0462   -0.2158    0.2583         1   -2.0917
  5  4.842661721705962E+06    6.199991  3.050296  4.292396  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2814  4.292396   -7.280  1.245621  7.469490  6.8455680E-01  3.0148640E-01  3.5711866E-05  9.5725503E-06  6.2380806E-03  2.3545062E-03  2.4143545E-05  1.4359646E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005152  0.0000000E+00  0.0000000000E+00       4.303     2.91   -2.8757   -0.7890   -0.7942   -0.2364   -0.0976   -0.2998   -0.1440   -0.0221   -0.6039   -0.0461   -0.2154    0.2577         0   -2.0867
  6  6.017809304432685E+06    6.199989  3.054441  4.291223  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2787  4.291223   -7.269  1.242286  7.469124  6.7637963E-01  3.0970685E-01  3.7365205E-05  1.0015568E-05  6.5351885E-03  2.0152845E-03  2.0865888E-05  1.2355376E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005203  0.0000000E+00  0.0000000000E+00       4.294     2.94   -2.8861   -0.8039   -0.7924   -0.2359   -0.0974   -0.2992   -0.1436   -0.0221   -0.6026   -0.0460   -0.2150    0.2572         0   -2.0822
  7  7.145130839799299E+06    6.199987  3.058744  4.290271  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2764  4.290271   -7.258  1.239977  7.469090  6.6839473E-01  3.1772626E-01  3.8708288E-05  1.0375589E-05  6.7713187E-03  1.7457589E-03  1.8130040E-05  1.0720138E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005255  0.0000000E+00  0.0000000000E+00       4.286     2.97   -2.8969   -0.8185   -0.7910   -0.2355   -0.0972   -0.2987   -0.1434   -0.0220   -0.6015   -0.0459   -0.2147    0.2568         0   -2.0784
  8  8.261329370758535E+06    6.199985  3.062922  4.289364  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2738  4.289364   -7.247  1.237928  7.469178  6.6036881E-01  3.2578081E-01  3.9840540E-05  1.0679158E-05  6.9675854E-03  1.5217360E-03  1.5826163E-05  9.3509162E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005306  0.0000000E+00  0.0000000000E+00       4.278     2.99   -2.9073   -0.8326   -0.7896   -0.2352   -0.0971   -0.2982   -0.1431   -0.0220   -0.6005   -0.0458   -0.2144    0.2564         0   -2.0747
  9  9.377525392636834E+06    6.199982  3.067391  4.288546  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2715  4.288546   -7.236  1.236462  7.469433  6.5217515E-01  3.3399887E-01  4.0830691E-05  1.0944746E-05  7.1347535E-03  1.3309341E-03  1.3810462E-05  8.1682874E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.005362  0.0000000E+00  0.0000000000E+00       4.270     3.02   -2.9185   -0.8467   -0.7885   -0.2349   -0.0970   -0.2978   -0.1429   -0.0220   -0.5997   -0.0458   -0.2142    0.2560         0   -2.0718
