line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    2.800000  1.784343  4.083364  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2157  4.083364    0.000  1.708940  7.390455  7.1695893E-01  2.6866775E-01  1.5170585E-05  4.0388813E-06  3.4555408E-03  5.4236057E-03  1.7837299E-04  6.4232238E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000592  0.0000000E+00  0.0000000000E+00       4.387     1.77    0.2891    0.9935   -0.3013   -0.1018   -0.0301   -0.1187   -0.0498   -0.0080   -0.1994   -0.0224   -0.1122    0.1028         0   -0.7043
  2  8.422707499266159E+06    2.800000  1.783770  4.080454  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2196  4.080454    0.000  1.699900  7.388580  7.0881261E-01  2.7689602E-01  1.7689885E-05  4.7086371E-06  4.0545433E-03  4.6620754E-03  2.5565470E-04  8.9667147E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000591  0.0000000E+00  0.0000000000E+00       4.376     1.80    0.2906    0.9751   -0.2981   -0.0995   -0.0292   -0.1159   -0.0483   -0.0080   -0.1936   -0.0222   -0.1107    0.1004         0   -0.6845
  3  1.659247140345232E+07    2.800000  1.785892  4.078215  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2182  4.078215    0.000  1.693866  7.387208  7.0076710E-01  2.8501526E-01  1.9787534E-05  5.2660388E-06  4.5606263E-03  4.0894086E-03  2.4587411E-04  8.5679748E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000594  0.0000000E+00  0.0000000000E+00       4.365     1.82    0.2853    0.9547   -0.2952   -0.0977   -0.0284   -0.1137   -0.0472   -0.0079   -0.1891   -0.0221   -0.1096    0.0985         0   -0.6695
  4  2.465560786356954E+07    2.800000  1.788495  4.076389  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2169  4.076389    0.000  1.689568  7.386389  6.9269182E-01  2.9315188E-01  2.1520344E-05  5.7265884E-06  4.9772715E-03  3.6284581E-03  2.2664668E-04  7.8697460E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000598  0.0000000E+00  0.0000000000E+00       4.355     1.84    0.2788    0.9361   -0.2925   -0.0963   -0.0278   -0.1118   -0.0463   -0.0079   -0.1854   -0.0219   -0.1086    0.0969         0   -0.6573
  5  3.257932166047955E+07    2.800000  1.791336  4.074905  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2150  4.074905    0.000  1.686468  7.386113  6.8464097E-01  3.0125407E-01  2.2986144E-05  6.1164092E-06  5.3239874E-03  3.2484009E-03  2.0685696E-04  7.1717590E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000602  0.0000000E+00  0.0000000000E+00       4.346     1.86    0.2717    0.9193   -0.2902   -0.0951   -0.0273   -0.1103   -0.0455   -0.0079   -0.1824   -0.0218   -0.1078    0.0956         0   -0.6476
  6  4.038483721730643E+07    2.800000  1.794390  4.073518  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2135  4.073518    0.000  1.684018  7.385896  6.7656299E-01  3.0937609E-01  2.4239932E-05  6.4498477E-06  5.6205902E-03  2.9251366E-03  1.8795122E-04  6.5082998E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000606  0.0000000E+00  0.0000000000E+00       4.338     1.88    0.2640    0.9026   -0.2879   -0.0940   -0.0268   -0.1089   -0.0448   -0.0078   -0.1796   -0.0217   -0.1071    0.0944         0   -0.6386
  7  4.796387906548817E+07    2.800000  1.797561  4.072282  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2121  4.072282    0.000  1.682141  7.385869  6.6857736E-01  3.1739926E-01  2.5320240E-05  6.7372636E-06  5.8732694E-03  2.6503240E-03  1.7120774E-04  5.9260928E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000611  0.0000000E+00  0.0000000000E+00       4.330     1.89    0.2561    0.8867   -0.2857   -0.0931   -0.0264   -0.1077   -0.0442   -0.0078   -0.1771   -0.0216   -0.1064    0.0933         0   -0.6306
  8  5.554292088072827E+07    2.800000  1.800530  4.070994  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2104  4.070994    0.000  1.680283  7.385796  6.6047640E-01  3.2553350E-01  2.6270203E-05  6.9899629E-06  6.0967272E-03  2.4078951E-03  1.5577008E-04  5.3897520E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000615  0.0000000E+00  0.0000000000E+00       4.322     1.91    0.2487    0.8710   -0.2833   -0.0921   -0.0260   -0.1063   -0.0435   -0.0077   -0.1745   -0.0215   -0.1057    0.0922         0   -0.6223
  9  6.289549448716368E+07    2.800000  1.803952  4.069925  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2089  4.069925    0.000  1.679197  7.385996  6.5254483E-01  3.3349371E-01  2.7113002E-05  7.2143877E-06  6.2885958E-03  2.1998211E-03  1.4237748E-04  4.9294691E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000620  0.0000000E+00  0.0000000000E+00       4.314     1.93    0.2401    0.8556   -0.2813   -0.0912   -0.0256   -0.1052   -0.0430   -0.0077   -0.1724   -0.0215   -0.1051    0.0912         0   -0.6155
