line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.636755  0.843336 -0.308243    0.80000000     4.69488  3.00  8.611E-08   0.000000  6.126387 13.109997 -1.146469  6.126387  0.000000 -1.146469  1.0429E+03  2.2346E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.983E-01  3.63137 -7.09197  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  5.7757E+01  0.0000E+00  0.0000E+00  0.0000E+00  5.7757E+01  0.0000E+00  1.0001E+00  0.0000E+00  3.1572E-02  0.0000E+00  1.1326E-04  0.0000E+00  3.8515E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9253E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.1539E-05  1.1861E-05 -2.7918E-02  1.3205E-04 -1.0000E+00  4.3332E+04  0.0000E+00  4.0555E+04   2.6417  -0.6717   1.3701   1.2754   0.6802   1.2820   0.7920   0.1260   2.9199  -0.3919   0.2844  -1.1590   5.9588   4.5888   3.3134   2.6332   2.0314   0.5194   1.1855   0.3935   2.9215   3.5978   2.1544  7.1597E-01  4.4358E-05  3.5227E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.2828E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  7.5839E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.4358E-05  3.5227E-05  2.6996E-01  2.4475E-03  2.9658E-05  7.5839E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  2.1720153082E+05  3.637256  0.789274  0.137511    0.80000000     4.40143  3.06  9.244E-08   0.000000  6.153407 13.218431 -1.065176  6.153407  0.000000 -1.065176  3.7898E+02  6.2175E+00  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.984E-01  3.63176 -7.06208  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.7336E+01  0.0000E+00  0.0000E+00  0.0000E+00  7.7336E+01  0.0000E+00  1.0723E+00  0.0000E+00  6.0761E-02  0.0000E+00  1.0138E-04  0.0000E+00  3.9414E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9329E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.2730E-05  1.3067E-05 -2.6484E-02  1.5016E-04 -1.0000E+00  3.9278E+04  0.0000E+00  3.6800E+04   2.7768  -0.6686   1.3626   1.2716   0.6793   1.2805   0.7897   0.1255   2.9128  -0.3911   0.2842  -1.1576   6.0795   4.7169   3.4454   2.7660   2.1648   0.6581   1.3222   0.5325   3.0542   3.7296   2.2877  7.1595E-01  6.7800E-06  9.1591E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0193E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.1845E-11  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  6.7800E-06  9.1591E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.1845E-11  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  2.7634431248E+05  3.637556  0.735212  0.517531    0.80000000     4.12999  3.11  9.922E-08   0.000000  6.180148 13.325504 -0.984863  6.180148  0.000000 -0.984863  1.3203E+02  1.4910E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.985E-01  3.63287 -7.03085  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0251E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.0251E+02  0.0000E+00  1.2043E+00  0.0000E+00  4.1962E-02  0.0000E+00  9.0398E-05  0.0000E+00  4.1440E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9403E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.4024E-05  1.4376E-05 -2.5055E-02  1.7048E-04 -1.0000E+00  3.5652E+04  0.0000E+00  3.3438E+04   2.9120  -0.6670   1.3569   1.2688   0.6792   1.2804   0.7879   0.1252   2.9085  -0.3911   0.2842  -1.1575   6.2046   4.8477   3.5790   2.8998   2.2985   0.7957   1.4584   0.6705   3.1879   3.8632   2.4214  7.1595E-01  9.5433E-07  1.0033E-04  2.6996E-01  7.4158E-10  1.0120E-08  5.2657E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.2860E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  9.5433E-07  1.0033E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.2860E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  3.1071096042E+05  3.637830  0.681149  0.656211    0.80000000     3.87646  3.17  1.068E-07   0.000000  6.206788 13.432237 -0.905087  6.206788  0.000000 -0.905087  1.4831E+01  2.0512E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.985E-01  3.63433 -6.99813  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.5926E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.5926E+02  0.0000E+00  1.4543E+00  0.0000E+00  2.3644E-02  0.0000E+00  8.1197E-05  0.0000E+00  4.3959E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9474E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.5445E-05  1.5809E-05 -2.3534E-02  1.9346E-04 -1.0000E+00  3.2372E+04  0.0000E+00  3.0393E+04   3.0471  -0.6656   1.3514   1.2661   0.6791   1.2805   0.7863   0.1249   2.9045  -0.3911   0.2842  -1.1576   6.3303   4.9788   3.7128   3.0336   2.4322   0.9331   1.5945   0.8082   3.3216   3.9970   2.5551  7.1595E-01  3.9608E-08  1.0170E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.7492E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  5.8803E-14  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.9608E-08  1.0170E-04  2.6996E-01  2.4475E-03  2.9658E-05  5.8803E-14  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  3.4358676497E+05  3.637756  0.627086  0.627032    0.80000000     3.64292  3.22  1.147E-07   0.000000  6.232715 13.537003 -0.826508  6.232715  0.000000 -0.826508  2.8588E-02  1.9181E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.986E-01  3.63540 -6.96636  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.8866E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.8866E+02  0.0000E+00  1.5561E+00  0.0000E+00  2.3167E-02  0.0000E+00  7.3014E-05  0.0000E+00  4.4462E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9541E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.6980E-05  1.7353E-05 -2.1978E-02  2.1906E-04 -1.0000E+00  2.9446E+04  0.0000E+00  2.7678E+04   3.1823  -0.6671   1.3489   1.2652   0.6803   1.2830   0.7856   0.1248   2.9054  -0.3924   0.2844  -1.1599   6.4635   5.1146   3.8494   3.1691   2.5664   1.0689   1.7296   0.9440   3.4570   4.1338   2.6895  7.1595E-01  2.2514E-11  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  1.4949E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.2097E-15  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  2.2514E-11  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.2097E-15  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  3.8202345181E+05  3.637556  0.573024  0.573012    0.80000000     3.42681  3.27  1.233E-07   0.000000  6.258359 13.640129 -0.749174  6.258359  0.000000 -0.749174  2.3382E-07  1.6932E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.987E-01  3.63593 -6.93476  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.8943E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.8943E+02  0.0000E+00  1.5605E+00  0.0000E+00  1.4060E-01  0.0000E+00  6.5834E-05  0.0000E+00  4.4917E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9605E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.8640E-05  1.9020E-05 -2.0402E-02  2.4764E-04 -1.0000E+00  2.6823E+04  0.0000E+00  2.5236E+04   3.3174  -0.6696   1.3474   1.2650   0.6819   1.2863   0.7852   0.1249   2.9080  -0.3942   0.2847  -1.1631   6.5994   5.2521   3.9871   3.3051   2.7007   1.2040   1.8643   1.0791   3.5928   4.2717   2.8240  7.1595E-01  1.1614E-16  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  9.1487E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.7464E-17  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.1614E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.7464E-17  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  4.2772910474E+05  3.637145  0.518962  0.518957    0.80000000     3.22549  3.33  1.325E-07   0.000000  6.283564 13.742365 -0.672481  6.283564  0.000000 -0.672481  3.2920E-07  1.4949E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.988E-01  3.63694 -6.90177  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9062E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9062E+02  0.0000E+00  1.5659E+00  0.0000E+00  3.1677E-02  0.0000E+00  5.9439E-05  0.0000E+00  4.5064E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9669E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.0445E-05  2.0828E-05 -1.8775E-02  2.7963E-04 -1.0000E+00  2.4456E+04  0.0000E+00  2.3026E+04   3.4526  -0.6738   1.3475   1.2659   0.6842   1.2911   0.7855   0.1251   2.9134  -0.3968   0.2851  -1.1675   6.7397   5.3922   4.1264   3.4421   2.8353   1.3381   1.9985   1.2130   3.7296   4.4114   2.9588  7.1595E-01  7.5186E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  5.9540E-27  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.2523E-19  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  7.5186E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.2523E-19  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  4.8126278368E+05  3.636532  0.464899  0.464902    0.80000000     3.04053  3.38  1.428E-07   0.000000  6.308217 13.842207 -0.597651  6.308217  0.000000 -0.597651  5.5124E-07  1.3198E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.989E-01  3.63808 -6.86770  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9216E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9216E+02  0.0000E+00  1.5736E+00  0.0000E+00  4.8707E-01  0.0000E+00  5.3936E-05  0.0000E+00  4.5255E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9727E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.2374E-05  2.2758E-05 -1.7198E-02  3.1494E-04 -1.0000E+00  2.2348E+04  0.0000E+00  2.1060E+04   3.5878  -0.6795   1.3490   1.2677   0.6872   1.2971   0.7862   0.1254   2.9214  -0.4000   0.2855  -1.1733   6.8840   5.5350   4.2673   3.5801   2.9701   1.4713   2.1321   1.3459   3.8673   4.5528   3.0940  7.1595E-01  5.3084E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  3.7808E-26  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.9608E-22  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  5.3084E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  3.9608E-22  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  5.4445078070E+05  3.635631  0.410837  0.410837    0.80000000     2.86890  3.43  1.538E-07   0.000000  6.332519 13.940551 -0.523929  6.332519  0.000000 -0.523929  8.2351E-07  1.1652E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.8000000  9.989E-01  3.63942 -6.83238  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9405E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9405E+02  0.0000E+00  1.5832E+00  0.0000E+00  2.4404E-02  0.0000E+00  4.8966E-05  0.0000E+00  4.5814E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9783E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.4450E-05  2.4831E-05 -1.5607E-02  3.5411E-04 -1.0000E+00  2.0451E+04  0.0000E+00  1.9290E+04   3.7229  -0.6874   1.3526   1.2709   0.6910   1.3051   0.7878   0.1259   2.9330  -0.4042   0.2861  -1.1807   7.0338   5.6812   4.4103   3.7193   3.1053   1.6032   2.2650   1.4773   4.0061   4.6964   3.2296  7.1595E-01  3.7973E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.1775E-25  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.5086E-25  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.7973E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  4.5086E-25  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
