line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.515194 -0.243577 -0.151789    0.20000000     2.40034  3.00  1.799E-07   0.000000  5.845016 13.150114 -0.816561  5.845016  0.000000 -0.816561  1.0215E+03  9.6482E+00  0.0000E+00  0.2000000  9.975E-01  3.52902 -6.94682  0.2000000  9.967E-01  3.55801 -6.69392  2.2373E-04  0.0000E+00  1.4779E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.5445E-02  0.0000E+00  0.0000E+00  0.0000E+00  8.1673E+01  0.0000E+00  1.3149E+00  0.0000E+00  2.9197E-02  0.0000E+00  1.6148E-04  0.0000E+00  3.6273E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.3278E-09  1.8322E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.7167E-05  1.8021E-05 -5.4685E-02  1.7543E-04 -1.0000E+00  3.2947E+04  3.1998E+04  2.8481E+04   5.3589  -2.1102   1.3746   1.6139   1.1061   2.4761   1.0041   0.2338   4.8963  -1.1654   0.2489  -2.3235  10.4576   9.0830   7.4691   6.3630   4.9930   2.8066   3.5769   2.5728   6.3037   7.7181   5.1456  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.7326E-46  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  6.5348476828E+04  3.514000 -0.335623 -0.335972    0.20000000     2.16656  3.08  2.022E-07   0.000000  5.884251 13.311275 -0.695738  5.884251  0.000000 -0.695738  4.6932E-02  8.8640E+00  0.0000E+00  0.2000000  9.978E-01  3.52511 -6.92705  0.2000000  9.970E-01  3.55787 -6.63625  4.8420E-04  0.0000E+00  3.8044E-05  0.0000E+00  4.1340E-05  0.0000E+00  0.0000E+00  0.0000E+00  4.2298E-02  0.0000E+00  0.0000E+00  0.0000E+00  9.1650E+01  0.0000E+00  1.4044E+00  0.0000E+00  2.3099E-02  0.0000E+00  1.3728E-04  0.0000E+00  3.8863E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.7600E-09  1.8580E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.9871E-05  2.0790E-05 -5.0753E-02  2.1137E-04 -1.0000E+00  2.8121E+04  2.7391E+04  2.4388E+04   5.5891  -2.1207   1.3600   1.6136   1.1095   2.4880   0.9997   0.2344   4.9030  -1.1739   0.2477  -2.3356  10.6833   9.3233   7.7097   6.6002   5.2217   3.0410   3.8064   2.8067   6.5358   7.9574   5.3742  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.3800E-20  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  1.4410665345E+05  3.513243 -0.427669 -0.427672    0.20000000     1.95324  3.17  2.280E-07   0.000000  5.924007 13.475866 -0.572543  5.924007  0.000000 -0.572543  5.5359E-07  7.1306E+00  0.0000E+00  0.2000000  9.981E-01  3.52367 -6.88727  0.2000000  9.973E-01  3.55761 -6.57601  4.3678E-04  0.0000E+00  3.1917E-05  0.0000E+00  1.3084E-05  0.0000E+00  0.0000E+00  0.0000E+00  2.4123E-01  0.0000E+00  0.0000E+00  0.0000E+00  9.2965E+01  0.0000E+00  1.4143E+00  0.0000E+00  4.5819E-02  0.0000E+00  1.1856E-04  0.0000E+00  3.9806E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.1989E-09  1.8828E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.3080E-05  2.4062E-05 -4.6634E-02  2.5583E-04 -1.0000E+00  2.3957E+04  2.3378E+04  2.0842E+04   5.8192  -2.1250   1.3475   1.6130   1.1108   2.4930   0.9950   0.2343   4.8998  -1.1774   0.2471  -2.3406  10.9046   9.5571   7.9441   6.8334   5.4511   3.2786   4.0393   3.0443   6.7667   8.1913   5.6035  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.0861E-30  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  2.4879040887E+05  3.512640 -0.519715 -0.519710    0.20000000     1.75856  3.27  2.577E-07   0.000000  5.964511 13.643736 -0.446708  5.964511  0.000000 -0.446708  9.6333E-07  5.7392E+00  0.0000E+00  0.2000000  9.984E-01  3.52399 -6.83158  0.2000000  9.975E-01  3.56008 -6.49414  2.0509E-04  0.0000E+00  1.9281E-05  0.0000E+00  1.0327E-05  0.0000E+00  0.0000E+00  0.0000E+00  2.1661E-01  0.0000E+00  0.0000E+00  0.0000E+00  9.3486E+01  0.0000E+00  1.4191E+00  0.0000E+00  3.1383E-02  0.0000E+00  1.0255E-04  0.0000E+00  4.0447E-01  0.0000E+00  0.0000E+00  0.0000E+00  8.6260E-10  1.9065E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.6865E-05  2.7901E-05 -4.2256E-02  3.1038E-04 -1.0000E+00  2.0362E+04  1.9894E+04  1.7770E+04   6.0493  -2.1267   1.3356   1.6121   1.1114   2.4959   0.9902   0.2342   4.8935  -1.1795   0.2468  -2.3435  11.1237   9.7880   8.1760   7.0646   5.6801   3.5167   4.2727   3.2825   6.9965   8.4228   5.8325  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  2.4475E-03  2.9658E-05  5.4014E-41  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  3.9000188490E+05  3.512268 -0.611761 -0.611795    0.20000000     1.58180  3.35  2.927E-07   0.000000  6.005749 13.814423 -0.318591  6.005749  0.000000 -0.318591  2.3164E-06  4.6229E+00  0.0000E+00  0.2000000  9.985E-01  3.52267 -6.78527  0.2000000  9.978E-01  3.56081 -6.42101  1.6645E-04  0.0000E+00  1.5158E-05  0.0000E+00  2.0003E-05  0.0000E+00  0.0000E+00  0.0000E+00  5.7150E-03  0.0000E+00  0.0000E+00  0.0000E+00  9.3822E+01  0.0000E+00  1.4224E+00  0.0000E+00  1.1888E-02  0.0000E+00  8.8849E-05  0.0000E+00  4.1165E-01  0.0000E+00  0.0000E+00  0.0000E+00  4.9742E-10  1.9287E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.1329E-05  3.2407E-05 -3.7660E-02  3.7742E-04 -1.0000E+00  1.7277E+04  1.6908E+04  1.5123E+04   6.2794  -2.1249   1.3245   1.6108   1.1110   2.4955   0.9852   0.2337   4.8823  -1.1792   0.2469  -2.3431  11.3396  10.0151   8.4043   7.2932   5.9088   3.7558   4.5072   3.5220   7.2251   8.6512   6.0612  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.7532E-39  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  5.8111302365E+05  3.512040 -0.703808 -0.703810    0.20000000     1.42202  3.45  3.329E-07   0.000000  6.047694 13.987625 -0.188419  6.047694  0.000000 -0.188419  3.4819E-06  3.7273E+00  0.0000E+00  0.2000000  9.997E-01  3.47952 -7.26019  0.2000000  9.980E-01  3.56027 -6.35539  1.3512E-02  0.0000E+00  8.6545E-04  0.0000E+00  1.7483E-05  0.0000E+00  0.0000E+00  0.0000E+00  2.7997E-01  0.0000E+00  0.0000E+00  0.0000E+00  9.4005E+01  0.0000E+00  1.4247E+00  0.0000E+00  5.4574E-03  0.0000E+00  7.6659E-05  0.0000E+00  4.1710E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.8062E-10  1.9489E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.6599E-05  3.7699E-05 -3.2881E-02  4.5998E-04 -1.0000E+00  1.4644E+04  1.4569E+04  1.2854E+04   6.5095  -2.1212   1.3135   1.6094   1.1103   2.4936   0.9802   0.2332   4.8688  -1.1778   0.2471  -2.3411  11.5536  10.2401   8.6307   7.5205   6.1372   3.9951   4.7421   3.7619   7.4529   8.8778   6.2896  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.1919E-31  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  8.4049352594E+05  3.511892 -0.795854 -0.795859    0.20000000     1.27793  3.54  3.779E-07   0.000000  6.090636 14.163173 -0.056539  6.090636  0.000000 -0.056539  1.1209E-05  3.0066E+00  0.0000E+00  0.2000000  9.997E-01  3.48068 -7.18995  0.2000000  9.982E-01  3.56036 -6.28578  1.0391E-02  0.0000E+00  7.0808E-04  0.0000E+00  1.2606E-05  0.0000E+00  0.0000E+00  0.0000E+00  1.9337E-01  0.0000E+00  0.0000E+00  0.0000E+00  9.4092E+01  0.0000E+00  1.4254E+00  0.0000E+00  2.8016E-02  0.0000E+00  6.5995E-05  0.0000E+00  4.2059E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.3182E-10  1.9665E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  4.2796E-05  4.3891E-05 -2.7996E-02  5.6137E-04 -1.0000E+00  1.2404E+04  1.2342E+04  1.0923E+04   6.7396  -2.1191   1.3025   1.6080   1.1098   2.4932   0.9751   0.2328   4.8571  -1.1776   0.2471  -2.3408  11.7692  10.4667   8.8587   7.7489   6.3655   4.2343   4.9767   4.0016   7.6811   9.1058   6.5179  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.9653E-33  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  3.9958309356E+06  3.511765 -0.887900 -1.243135    0.20000000     1.14806  3.63  4.312E-07   0.000000  6.134197 14.340637  0.077089  6.134197  0.000000  0.077089  1.4640E+02  1.0163E+00  0.0000E+00  0.2000000  9.997E-01  3.48238 -7.11279  0.2000000  9.984E-01  3.56257 -6.19962  8.2542E-03  0.0000E+00  5.4500E-04  0.0000E+00  4.9294E-04  0.0000E+00  0.0000E+00  0.0000E+00  1.0422E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.1440E+01  0.0000E+00  1.0001E+00  0.0000E+00  4.2816E-03  0.0000E+00  5.7246E-05  0.0000E+00  3.9049E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.8517E-10  1.9814E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  5.0104E-05  5.1157E-05 -2.2987E-02  6.8627E-04 -1.0000E+00  1.0501E+04  1.0448E+04  9.2753E+03   6.9698  -2.1205   1.2916   1.6069   1.1099   2.4961   0.9700   0.2325   4.8493  -1.1796   0.2468  -2.3437  11.9887  10.6971   9.0902   7.9803   6.5942   4.4734   5.2109   4.2409   7.9106   9.3370   6.7466  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  5.2535E-07  1.0097E-04  2.6996E-01  2.4475E-03  2.9658E-05  5.7283E-14  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  4.5002521921E+06  3.511688 -0.979946 -0.979943    0.20000000     1.03168  3.72  4.912E-07   0.000000  6.178318 14.519344  0.211258  6.178318  0.000000  0.211258  4.6348E-05  1.9572E+00  0.0000E+00  0.2000000  9.997E-01  3.48470 -7.02684  0.2000000  9.986E-01  3.56386 -6.12103  4.2748E-03  0.0000E+00  3.4044E-04  0.0000E+00  3.8585E-04  0.0000E+00  0.0000E+00  0.0000E+00  2.9493E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.4219E+01  0.0000E+00  1.4281E+00  0.0000E+00  3.5313E-03  0.0000E+00  4.9340E-05  0.0000E+00  4.2630E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.5005E-10  1.9937E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  5.8684E-05  5.9640E-05 -1.7919E-02  8.3962E-04 -1.0000E+00  8.8925E+03  8.8457E+03  7.8789E+03   7.1999  -2.1212   1.2805   1.6057   1.1100   2.4987   0.9649   0.2322   4.8410  -1.1814   0.2465  -2.3463  12.2073  10.9268   9.3211   8.2111   6.8224   4.7123   5.4450   4.4801   8.1397   9.5676   6.9748  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  5.9622E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.6831E-27  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
