line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.550923  0.066114  0.066100    0.30000000     2.84907  3.01  1.575E-07   0.000000  5.930695 13.153235 -0.901775  5.930695  0.000000 -0.901775  1.2550E-28  1.3935E+01  0.0000E+00  0.3000000  9.999E-01  3.49282 -7.52464  0.3000000  9.984E-01  3.54933 -6.95470  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.1264E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.0262E+02  0.0000E+00  1.4377E+00  0.0000E+00  6.0412E-02  0.0000E+00  2.5143E-04  0.0000E+00  3.9624E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9611E-10  1.8632E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.4757E-05  1.5366E-05 -4.1257E-02  1.4845E-04 -1.0000E+00  3.3886E+04  3.3870E+04  3.0480E+04   4.5847  -1.5063   1.6182   1.5626   0.9709   2.0120   0.9689   0.1954   4.1883  -0.8410   0.2878  -1.8612   9.2718   7.6536   6.0910   5.1201   4.0790   2.0982   2.8716   1.9027   5.2500   6.3788   4.2298  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.4235E-42  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.0318E-41  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  4.1345915775E+04  3.548936 -0.022662 -0.022644    0.30000000     2.59641  3.09  1.775E-07   0.000000  5.967799 13.304655 -0.788630  5.967799  0.000000 -0.788630  7.8623E-28  1.1354E+01  0.0000E+00  0.3000000  9.999E-01  3.49435 -7.45875  0.3000000  9.986E-01  3.54856 -6.90649  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.3704E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0377E+02  0.0000E+00  1.4487E+00  0.0000E+00  7.7759E-02  0.0000E+00  2.2460E-04  0.0000E+00  4.0489E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.7923E-10  1.8827E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.7009E-05  1.7663E-05 -3.8399E-02  1.7916E-04 -1.0000E+00  2.9399E+04  2.9365E+04  2.6491E+04   4.8067  -1.5368   1.5931   1.5631   0.9784   2.0374   0.9675   0.1967   4.2189  -0.8583   0.2863  -1.8862   9.4997   7.9065   6.3434   5.3650   4.3060   2.3212   3.0920   2.1245   5.4852   6.6297   4.4573  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.7361E-44  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  3.8084E-40  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  9.6998437556E+04  3.546857 -0.111438 -0.111456    0.30000000     2.36586  3.17  1.999E-07   0.000000  6.004904 13.456797 -0.674564  6.004904  0.000000 -0.674564  1.4398E-26  9.2526E+00  0.0000E+00  0.3000000  9.999E-01  3.49509 -7.40196  0.3000000  9.987E-01  3.54798 -6.85803  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.6695E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.0487E+02  0.0000E+00  1.4602E+00  0.0000E+00  9.8456E-02  0.0000E+00  1.9824E-04  0.0000E+00  4.1164E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0554E-10  1.9015E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.9612E-05  2.0305E-05 -3.5375E-02  2.1627E-04 -1.0000E+00  2.5497E+04  2.5460E+04  2.3012E+04   5.0286  -1.5692   1.5674   1.5643   0.9866   2.0642   0.9661   0.1982   4.2519  -0.8766   0.2846  -1.9126   9.7295   8.1620   6.5977   5.6112   4.5335   2.5441   3.3120   2.3459   5.7211   6.8824   4.6852  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  7.1893E-47  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  9.6596E-39  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  1.7261908257E+05  3.545028 -0.200214 -0.200216    0.30000000     2.15419  3.25  2.249E-07   0.000000  6.042411 13.610834 -0.559151  6.042411  0.000000 -0.559151  3.1879E-25  7.5435E+00  0.0000E+00  0.3000000  9.999E-01  3.49623 -7.34272  0.3000000  9.988E-01  3.54854 -6.80449  2.6951E-03  0.0000E+00  4.8082E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.8360E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.0582E+02  0.0000E+00  1.4713E+00  0.0000E+00  8.4345E-02  0.0000E+00  1.7661E-04  0.0000E+00  4.2017E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9325E-10  1.9196E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.2644E-05  2.3370E-05 -3.2107E-02  2.6142E-04 -1.0000E+00  2.2083E+04  2.2047E+04  1.9957E+04   5.2505  -1.5970   1.5430   1.5652   0.9936   2.0879   0.9642   0.1998   4.2796  -0.8929   0.2831  -1.9359   9.9558   8.4128   6.8476   5.8539   4.7597   2.7678   3.5322   2.5680   5.9547   7.1306   4.9116  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  3.0851E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.3293E-37  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  2.7507663641E+05  3.543274 -0.288989 -0.288988    0.30000000     1.96048  3.33  2.539E-07   0.000000  6.080311 13.766491 -0.442434  6.080311  0.000000 -0.442434  4.1449E-10  6.1522E+00  0.0000E+00  0.3000000  9.999E-01  3.49736 -7.28123  0.3000000  9.988E-01  3.55770 -6.68624  1.9117E-03  0.0000E+00  3.7254E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  4.0831E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.0667E+02  0.0000E+00  1.4794E+00  0.0000E+00  3.2225E-01  0.0000E+00  7.3634E-05  0.0000E+00  4.2702E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.7512E-10  1.9366E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.6168E-05  2.6919E-05 -2.8700E-02  3.1626E-04 -1.0000E+00  1.9109E+04  1.9073E+04  1.7299E+04   5.4725  -1.6235   1.5191   1.5661   1.0002   2.1105   0.9622   0.2014   4.3054  -0.9084   0.2815  -1.9583  10.1811   8.6620   7.0959   6.0957   4.9854   2.9920   3.7528   2.7905   6.1875   7.3775   5.1377  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.1397E-26  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  1.8060703121E+06  3.541705 -0.377765 -0.842684    0.30000000     1.78298  3.42  2.869E-07   0.000000  6.118608 13.924159 -0.323988  6.118608  0.000000 -0.323988  1.8691E+02  1.7357E+00  0.0000E+00  0.3000000  9.999E-01  3.49887 -7.21474  0.3000000  9.989E-01  3.55876 -6.62037  1.7780E-02  0.0000E+00  4.2986E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.9152E-01  0.0000E+00  0.0000E+00  0.0000E+00  3.2083E+01  0.0000E+00  9.9425E-01  0.0000E+00  6.9625E-02  0.0000E+00  6.3260E-05  0.0000E+00  3.9364E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.8073E-10  1.9525E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.0276E-05  3.1038E-05 -2.5156E-02  3.8306E-04 -1.0000E+00  1.6517E+04  1.6480E+04  1.4976E+04   5.6944  -1.6466   1.4962   1.5665   1.0058   2.1307   0.9600   0.2029   4.3271  -0.9223   0.2801  -1.9782  10.4037   8.9075   7.3410   6.3353   5.2104   3.2169   3.9739   3.0139   6.4187   7.6212   5.3628  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.3615E-06  9.9718E-05  2.6996E-01  2.4475E-03  2.9658E-05  3.4472E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  2.0394118073E+06  3.540285 -0.466541 -0.466563    0.30000000     1.62038  3.50  3.242E-07   0.000000  6.157826 14.084201 -0.203859  6.157826  0.000000 -0.203859  2.9801E-03  4.0976E+00  0.0000E+00  0.3000000  9.998E-01  3.50155 -7.13441  0.3000000  9.990E-01  3.55890 -6.55970  1.1632E-02  0.0000E+00  4.2772E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1017E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.0797E+02  0.0000E+00  1.4975E+00  0.0000E+00  4.1263E-01  0.0000E+00  5.4868E-05  0.0000E+00  4.3946E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9286E-10  1.9669E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  3.5074E-05  3.5825E-05 -2.1426E-02  4.6458E-04 -1.0000E+00  1.4257E+04  1.4219E+04  1.2948E+04   5.9164  -1.6669   1.4740   1.5664   1.0107   2.1489   0.9574   0.2041   4.3453  -0.9350   0.2788  -1.9963  10.6236   9.1497   7.5833   6.5726   5.4344   3.4420   4.1953   3.2379   6.6483   7.8621   5.5870  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.6321E-12  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  3.5162E-20  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  2.2937626155E+06  3.538888 -0.555317 -0.555336    0.30000000     1.47254  3.58  3.664E-07   0.000000  6.197387 14.245000 -0.082864  6.197387  0.000000 -0.082864  3.3943E-06  3.3453E+00  0.0000E+00  0.3000000  9.998E-01  3.50599 -7.03697  0.3000000  9.991E-01  3.55926 -6.49708  7.6891E-03  0.0000E+00  4.5227E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.8693E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.0860E+02  0.0000E+00  1.5056E+00  0.0000E+00  1.7359E-02  0.0000E+00  4.7779E-05  0.0000E+00  4.4516E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9637E-10  1.9797E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  4.0639E-05  4.1352E-05 -1.7581E-02  5.6344E-04 -1.0000E+00  1.2305E+04  1.2262E+04  1.1195E+04   6.1383  -1.6905   1.4500   1.5666   1.0163   2.1696   0.9546   0.2052   4.3660  -0.9493   0.2772  -2.0168  10.8453   9.3953   7.8288   6.8124   5.6592   3.6680   4.4174   3.4628   6.8794   8.1060   5.8120  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.9417E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.6302E-29  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  2.6387039640E+06  3.537639 -0.644093 -0.644097    0.30000000     1.33700  3.67  4.150E-07   0.000000  6.237600 14.408444  0.040002  6.237600  0.000000  0.040002  1.5998E-05  2.7313E+00  0.0000E+00  0.3000000  9.998E-01  3.50823 -6.96227  0.3000000  9.992E-01  3.55993 -6.43180  4.4349E-03  0.0000E+00  3.2077E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.2934E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.0915E+02  0.0000E+00  1.5129E+00  0.0000E+00  1.3394E-02  0.0000E+00  4.1591E-05  0.0000E+00  4.5036E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9162E-10  1.9908E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  4.7155E-05  4.7797E-05 -1.3614E-02  6.8442E-04 -1.0000E+00  1.0604E+04  1.0566E+04  9.6641E+03   6.3602  -1.7116   1.4270   1.5664   1.0215   2.1885   0.9515   0.2061   4.3836  -0.9625   0.2758  -2.0356  11.0653   9.6383   8.0719   7.0504   5.8833   3.8944   4.6397   3.6882   7.1093   8.3476   6.0363  7.1597E-01  4.8711E-05  2.8697E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.0000E-50  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.0000E-50  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.6292E-16  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  2.4757E-32  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
