line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   24.595640  4.848220  4.586245  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5127  4.586245   -7.145  0.685784  7.590646  7.1690854E-01  2.6879748E-01  2.9114158E-05  7.9505438E-06  3.9192175E-03  5.0243434E-03  1.5100139E-05  1.5856942E-08  1.8761264E-03  6.0360599E-05  3.016E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.075886  0.0000000E+00  0.0000000000E+00       4.279     5.96   -7.3705   -3.7497   -1.1609   -0.3293   -0.1438   -0.4205   -0.2206   -0.0353   -0.9314   -0.0733   -0.2922    0.3600         1   -3.6209
  2  1.343563961890610E+05   24.585940  4.852296  4.582361  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5099  4.582361   -7.140  0.667336  7.585170  7.0851146E-01  2.7736612E-01  3.7455214E-05  1.0225677E-05  5.1157523E-03  3.6465384E-03  1.1322208E-05  1.1648993E-08  1.8742952E-03  6.2724785E-06  9.142E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.076632  0.0000000E+00  0.0000000000E+00       4.259     6.09   -7.3807   -3.7856   -1.1588   -0.3281   -0.1434   -0.4192   -0.2196   -0.0351   -0.9274   -0.0729   -0.2913    0.3588         1   -3.5951
  3  2.681690456960772E+05   24.576149  4.856630  4.580173  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5072  4.580173   -7.134  0.657986  7.582717  7.0018531E-01  2.8579896E-01  4.2602785E-05  1.1630025E-05  5.8513503E-03  2.7996350E-03  8.7892654E-06  8.9744036E-09  1.8728191E-03  8.9928962E-07  1.273E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.077431  0.0000000E+00  0.0000000000E+00       4.246     6.18   -7.3916   -3.8107   -1.1576   -0.3274   -0.1431   -0.4184   -0.2191   -0.0350   -0.9252   -0.0727   -0.2907    0.3582         1   -3.5808
  4  3.998597223569616E+05   24.566356  4.860957  4.578659  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5040  4.578659   -7.126  0.652214  7.581450  6.9193149E-01  2.9412646E-01  4.6179370E-05  1.2605806E-05  6.3587351E-03  2.2154825E-03  6.9896073E-06  7.1140623E-09  1.8715111E-03  2.0852083E-07  1.497E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.078237  0.0000000E+00  0.0000000000E+00       4.235     6.26   -7.4024   -3.8313   -1.1567   -0.3270   -0.1429   -0.4178   -0.2187   -0.0349   -0.9237   -0.0726   -0.2904    0.3577         1   -3.5711
  5  5.315501080379168E+05   24.556378  4.865478  4.577444  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.5011  4.577444   -7.118  0.648320  7.580799  6.8357456E-01  3.0253837E-01  4.8870711E-05  1.3340559E-05  6.7362615E-03  1.7808065E-03  5.6277780E-06  5.7226356E-09  1.8702787E-03  1.0802457E-07  1.641E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.079088  0.0000000E+00  0.0000000000E+00       4.225     6.33   -7.4137   -3.8503   -1.1560   -0.3266   -0.1428   -0.4174   -0.2184   -0.0349   -0.9225   -0.0725   -0.2901    0.3573         1   -3.5634
  6  6.604923660514834E+05   24.546414  4.870028  4.576423  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4984  4.576423   -7.109  0.645636  7.580536  6.7528346E-01  3.1087072E-01  5.0934375E-05  1.3903702E-05  7.0204597E-03  1.4535353E-03  4.5909301E-06  4.6717680E-09  1.8691153E-03  9.7428869E-08  1.726E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.079953  0.0000000E+00  0.0000000000E+00       4.217     6.39   -7.4251   -3.8681   -1.1554   -0.3263   -0.1427   -0.4170   -0.2182   -0.0349   -0.9215   -0.0724   -0.2899    0.3570         1   -3.5570
  7  7.869183906320726E+05   24.536451  4.874505  4.575522  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4957  4.575522   -7.101  0.643693  7.580513  6.6704567E-01  3.1914039E-01  5.2583362E-05  1.4354059E-05  7.2397259E-03  1.2009494E-03  3.7828224E-06  3.8607008E-09  1.8679993E-03  1.0202482E-07  1.772E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.080814  0.0000000E+00  0.0000000000E+00       4.208     6.45   -7.4363   -3.8849   -1.1549   -0.3260   -0.1426   -0.4167   -0.2180   -0.0348   -0.9206   -0.0723   -0.2896    0.3568         1   -3.5514
  8  9.124269172898710E+05   24.526348  4.878971  4.574692  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4925  4.574692   -7.092  0.642242  7.580660  6.5872905E-01  3.2748229E-01  5.3928149E-05  1.4721966E-05  7.4142114E-03  9.9989824E-04  3.1353179E-06  3.2105484E-09  1.8669009E-03  1.1027444E-07  1.790E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.081683  0.0000000E+00  0.0000000000E+00       4.200     6.51   -7.4474   -3.9012   -1.1544   -0.3258   -0.1425   -0.4164   -0.2178   -0.0348   -0.9198   -0.0722   -0.2894    0.3565         1   -3.5463
  9  1.035967219341239E+06   24.516210  4.883514  4.573895  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4897  4.573895   -7.083  0.641201  7.580920  6.5041999E-01  3.3581146E-01  5.5173326E-05  1.5063028E-05  7.5527724E-03  8.3995597E-04  2.6091551E-06  2.6970926E-09  1.8658244E-03  1.1997400E-07  1.788E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.082575  0.0000000E+00  0.0000000000E+00       4.192     6.57   -7.4588   -3.9174   -1.1539   -0.3256   -0.1424   -0.4161   -0.2176   -0.0348   -0.9190   -0.0721   -0.2893    0.3563         1   -3.5414
