line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    3.000000  1.898976  4.104477  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2237  4.104477    0.000  1.673035  7.400182  7.1695110E-01  2.6868190E-01  1.5869822E-05  4.2301029E-06  3.4921649E-03  5.3875356E-03  1.7098529E-04  6.3282218E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000698  0.0000000E+00  0.0000000000E+00       4.387     1.84    0.0026    0.8517   -0.3521   -0.1176   -0.0378   -0.1389   -0.0598   -0.0093   -0.2413   -0.0241   -0.1231    0.1202         0   -0.8491
  2  6.862435376526906E+06    3.000000  1.898157  4.101130  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2274  4.101130    0.000  1.662302  7.397601  7.0882960E-01  2.7690200E-01  1.8823924E-05  5.0158159E-06  4.1851802E-03  4.5674057E-03  1.9561675E-04  7.1801029E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000697  0.0000000E+00  0.0000000000E+00       4.374     1.86    0.0046    0.8299   -0.3436   -0.1151   -0.0366   -0.1358   -0.0583   -0.0091   -0.2346   -0.0238   -0.1214    0.1175         0   -0.8252
  3  1.357729149764465E+07    3.000000  1.900368  4.098784  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2256  4.098784    0.000  1.655610  7.396040  7.0078950E-01  2.8502060E-01  2.1097456E-05  5.6204181E-06  4.7214491E-03  3.9657269E-03  1.7969769E-04  6.5565489E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000701  0.0000000E+00  0.0000000000E+00       4.363     1.89   -0.0009    0.8077   -0.3378   -0.1133   -0.0357   -0.1335   -0.0571   -0.0089   -0.2299   -0.0236   -0.1202    0.1156         0   -0.8086
  4  2.029214761876234E+07    3.000000  1.903228  4.096932  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2240  4.096932    0.000  1.651126  7.395136  6.9262760E-01  2.9324610E-01  2.2946545E-05  6.1123063E-06  5.1545620E-03  3.4838782E-03  1.6247161E-04  5.9077719E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000705  0.0000000E+00  0.0000000000E+00       4.353     1.91   -0.0081    0.7875   -0.3333   -0.1119   -0.0351   -0.1317   -0.0563   -0.0088   -0.2261   -0.0235   -0.1192    0.1140         0   -0.7956
  5  2.673840949503535E+07    3.000000  1.906229  4.095520  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2220  4.095520    0.000  1.648019  7.394937  6.8467620E-01  3.0124870E-01  2.4465557E-05  6.5167452E-06  5.5018217E-03  3.0994040E-03  1.4661903E-04  5.3273110E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000710  0.0000000E+00  0.0000000000E+00       4.344     1.93   -0.0156    0.7702   -0.3299   -0.1108   -0.0346   -0.1304   -0.0556   -0.0087   -0.2233   -0.0234   -0.1185    0.1129         0   -0.7857
  6  3.312711546169876E+07    3.000000  1.909473  4.094152  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2204  4.094152    0.000  1.645530  7.394686  6.7661790E-01  3.0935100E-01  2.5760438E-05  6.8614573E-06  5.7992099E-03  2.7716214E-03  1.3148628E-04  4.7729080E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000715  0.0000000E+00  0.0000000000E+00       4.335     1.95   -0.0237    0.7525   -0.3267   -0.1098   -0.0341   -0.1290   -0.0549   -0.0086   -0.2205   -0.0233   -0.1178    0.1117         0   -0.7762
  7  3.934315369953346E+07    3.000000  1.912669  4.092906  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2188  4.092906    0.000  1.643387  7.394633  6.6861240E-01  3.1739370E-01  2.6869036E-05  7.1566911E-06  6.0511934E-03  2.4939294E-03  1.1859558E-04  4.3040907E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000721  0.0000000E+00  0.0000000000E+00       4.327     1.97   -0.0317    0.7359   -0.3237   -0.1088   -0.0336   -0.1278   -0.0543   -0.0085   -0.2180   -0.0232   -0.1171    0.1107         0   -0.7676
  8  4.555919193736822E+07    3.000000  1.915631  4.091568  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2170  4.091568    0.000  1.641291  7.394433  6.6050830E-01  3.2553040E-01  2.7825833E-05  7.4114046E-06  6.2714794E-03  2.2514894E-03  1.0700795E-04  3.8807605E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000726  0.0000000E+00  0.0000000000E+00       4.319     1.99   -0.0391    0.7193   -0.3206   -0.1078   -0.0332   -0.1265   -0.0537   -0.0085   -0.2153   -0.0231   -0.1164    0.1095         0   -0.7583
  9  5.160256244637422E+07    3.000000  1.919331  4.090532  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2154  4.090532    0.000  1.640229  7.394611  6.5258120E-01  3.3348520E-01  2.8674585E-05  7.6376597E-06  6.4585695E-03  2.0453009E-03  9.7402689E-05  3.5349714E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000732  0.0000000E+00  0.0000000000E+00       4.311     2.00   -0.0483    0.7029   -0.3182   -0.1070   -0.0328   -0.1255   -0.0532   -0.0084   -0.2132   -0.0230   -0.1159    0.1087         0   -0.7512
