line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    2.000000  1.208899  3.972774  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1650  3.972774    0.000  1.863773  7.335663  7.1685100E-01  2.6875990E-01  1.2070804E-05  3.1926634E-06  3.3522773E-03  5.5945311E-03  1.2767825E-04  3.8316964E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000214  0.0000000E+00  0.0000000000E+00       4.374     1.52    1.7278    1.8712   -0.0470    0.0032    0.0200    0.0168    0.0081   -0.0005    0.0460   -0.0174   -0.0440   -0.0144         0   -0.1435
  2  2.186122442988121E+07    2.000000  1.210546  3.972384  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1706  3.972384    0.000  1.864069  7.337365  7.0856360E-01  2.7704540E-01  1.2538631E-05  3.3169379E-06  3.4564091E-03  5.2002513E-03  4.1924429E-04  1.2563192E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000215  0.0000000E+00  0.0000000000E+00       4.371     1.53    1.7236    1.8656   -0.0466    0.0037    0.0203    0.0175    0.0083   -0.0005    0.0472   -0.0174   -0.0436   -0.0149         0   -0.1420
  3  4.186288412610027E+07    2.000000  1.213109  3.971558  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1705  3.971558    0.000  1.863773  7.337944  7.0075030E-01  2.8487540E-01  1.3219114E-05  3.4971459E-06  3.6333784E-03  4.8535211E-03  5.7150605E-04  1.7170600E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000216  0.0000000E+00  0.0000000000E+00       4.365     1.54    1.7172    1.8561   -0.0458    0.0048    0.0207    0.0189    0.0090   -0.0004    0.0498   -0.0174   -0.0430   -0.0162         0   -0.1389
  4  6.281700380785375E+07    2.000000  1.215738  3.970495  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1698  3.970495    0.000  1.863111  7.338342  6.9241340E-01  2.9324120E-01  1.4083185E-05  3.7258855E-06  3.8644912E-03  4.5143361E-03  6.4970135E-04  1.9548832E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000217  0.0000000E+00  0.0000000000E+00       4.358     1.55    1.7107    1.8456   -0.0447    0.0062    0.0213    0.0208    0.0098   -0.0002    0.0531   -0.0174   -0.0421   -0.0178         0   -0.1349
  5  8.262817150696611E+07    2.000000  1.218360  3.969462  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1700  3.969462    0.000  1.862342  7.338687  6.8441310E-01  3.0127420E-01  1.4962346E-05  3.9586093E-06  4.1013277E-03  4.2176559E-03  6.7577326E-04  2.0355438E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000219  0.0000000E+00  0.0000000000E+00       4.351     1.56    1.7041    1.8352   -0.0436    0.0075    0.0219    0.0226    0.0105   -0.0001    0.0564   -0.0174   -0.0412   -0.0193         0   -0.1311
  6  1.014868792205443E+08    2.000000  1.221141  3.968495  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1695  3.968495    0.000  1.861836  7.339019  6.7670060E-01  3.0901990E-01  1.5811372E-05  4.1833823E-06  4.3301066E-03  3.9560509E-03  6.7442322E-04  2.0334648E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000220  0.0000000E+00  0.0000000000E+00       4.345     1.57    1.6971    1.8246   -0.0426    0.0088    0.0225    0.0243    0.0113    0.0000    0.0595   -0.0174   -0.0404   -0.0208         0   -0.1275
  7  1.212028009211032E+08    2.000000  1.223930  3.967461  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1693  3.967461    0.000  1.861480  7.339446  6.6851030E-01  3.1724550E-01  1.6698389E-05  4.4182803E-06  4.5665037E-03  3.7013180E-03  6.5645831E-04  1.9817542E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000221  0.0000000E+00  0.0000000000E+00       4.338     1.59    1.6902    1.8139   -0.0414    0.0102    0.0231    0.0261    0.0121    0.0002    0.0628   -0.0174   -0.0396   -0.0224         0   -0.1237
  8  1.400615086346811E+08    2.000000  1.226579  3.966441  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1688  3.966441    0.000  1.861020  7.339866  6.6050100E-01  3.2528850E-01  1.7527576E-05  4.6378783E-06  4.7877722E-03  3.4722877E-03  6.2965978E-04  1.9030562E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000223  0.0000000E+00  0.0000000000E+00       4.331     1.60    1.6836    1.8035   -0.0403    0.0115    0.0236    0.0279    0.0129    0.0004    0.0661   -0.0175   -0.0387   -0.0240         0   -0.1200
  9  1.586630521521650E+08    2.000000  1.229293  3.965462  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1679  3.965462    0.000  1.860746  7.340335  6.5258230E-01  3.3323890E-01  1.8309338E-05  4.8449812E-06  4.9940662E-03  3.2643631E-03  5.9870475E-04  1.8118816E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000224  0.0000000E+00  0.0000000000E+00       4.325     1.61    1.6768    1.7932   -0.0393    0.0128    0.0242    0.0297    0.0136    0.0005    0.0694   -0.0175   -0.0379   -0.0255         0   -0.1165
