line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00    6.999998  3.220316  4.332096  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2954  4.332096  -11.438  1.214763  7.489087  7.1683050E-01  2.6886080E-01  2.3272513E-05  6.2440732E-06  3.8116477E-03  5.1394295E-03  3.3568661E-05  2.5138079E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006273  0.0000000E+00  0.0000000000E+00       4.344     2.95   -3.3008   -1.0847   -0.8506   -0.2521   -0.1051   -0.3188   -0.1543   -0.0233   -0.6470   -0.0498   -0.2271    0.2739         1   -2.2161
  2  9.543407073933798E+05    6.999995  3.222236  4.328320  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2983  4.328320  -11.432  1.198695  7.484792  7.0870310E-01  2.7713430E-01  2.8975468E-05  7.7726901E-06  4.8166784E-03  3.9865307E-03  2.8032154E-05  2.0204984E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006301  0.0000000E+00  0.0000000000E+00       4.327     3.00   -3.3056   -1.1040   -0.8455   -0.2507   -0.1043   -0.3171   -0.1533   -0.0232   -0.6429   -0.0494   -0.2260    0.2724         1   -2.2016
  3  1.908681414786771E+06    6.999991  3.225934  4.326038  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2956  4.326038  -11.419  1.189736  7.482652  7.0044400E-01  2.8549090E-01  3.2763367E-05  8.7879556E-06  5.4870621E-03  3.2182887E-03  2.3545710E-05  1.6635510E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006355  0.0000000E+00  0.0000000000E+00       4.314     3.05   -3.3148   -1.1221   -0.8423   -0.2498   -0.1039   -0.3160   -0.1528   -0.0231   -0.6404   -0.0492   -0.2254    0.2715         1   -2.1927
  4  2.814081573083047E+06    6.999988  3.229981  4.324511  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2933  4.324511  -11.403  1.184201  7.481699  6.9246330E-01  2.9354040E-01  3.5457913E-05  9.5102767E-06  5.9594144E-03  2.6773380E-03  1.9964654E-05  1.3972886E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006414  0.0000000E+00  0.0000000000E+00       4.304     3.09   -3.3250   -1.1382   -0.8403   -0.2492   -0.1036   -0.3153   -0.1524   -0.0230   -0.6388   -0.0491   -0.2249    0.2709         1   -2.1867
  5  3.717034703924481E+06    6.999984  3.234307  4.323259  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2908  4.323259  -11.387  1.180139  7.481118  6.8437840E-01  3.0167890E-01  3.7573332E-05  1.0077430E-05  6.3277486E-03  2.2556375E-03  1.7013452E-05  1.1840946E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006478  0.0000000E+00  0.0000000000E+00       4.295     3.12   -3.3358   -1.1541   -0.8385   -0.2487   -0.1034   -0.3147   -0.1521   -0.0230   -0.6374   -0.0490   -0.2246    0.2704         1   -2.1817
  6  4.619987834765905E+06    6.999980  3.238596  4.322116  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2880  4.322116  -11.370  1.176759  7.480712  6.7615680E-01  3.0994360E-01  3.9280897E-05  1.0535251E-05  6.6239303E-03  1.9166048E-03  1.4563372E-05  1.0099629E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006543  0.0000000E+00  0.0000000000E+00       4.286     3.15   -3.3465   -1.1693   -0.8370   -0.2482   -0.1032   -0.3142   -0.1518   -0.0229   -0.6362   -0.0489   -0.2242    0.2700         1   -2.1771
  7  5.478894471419944E+06    6.999977  3.242995  4.321212  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2857  4.321212  -11.353  1.174464  7.480694  6.6820010E-01  3.1793420E-01  4.0653303E-05  1.0903371E-05  6.8557283E-03  1.6513003E-03  1.2550736E-05  8.7029532E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006609  0.0000000E+00  0.0000000000E+00       4.278     3.18   -3.3575   -1.1840   -0.8358   -0.2479   -0.1030   -0.3138   -0.1515   -0.0229   -0.6352   -0.0488   -0.2240    0.2696         1   -2.1735
  8  6.337801108073993E+06    6.999973  3.247321  4.320357  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2830  4.320357  -11.336  1.172445  7.480831  6.6011680E-01  3.2604570E-01  4.1820532E-05  1.1216531E-05  7.0493771E-03  1.4296567E-03  1.0835639E-05  7.5240937E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006675  0.0000000E+00  0.0000000000E+00       4.270     3.21   -3.3683   -1.1983   -0.8346   -0.2475   -0.1028   -0.3134   -0.1513   -0.0229   -0.6343   -0.0487   -0.2237    0.2693         1   -2.1700
  9  7.196707744728032E+06    6.999969  3.251924  4.319573  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2806  4.319573  -11.319  1.170967  7.481101  6.5185840E-01  3.3432800E-01  4.2833720E-05  1.1488472E-05  7.2132623E-03  1.2420576E-03  9.3623973E-06  6.5186266E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.006747  0.0000000E+00  0.0000000000E+00       4.262     3.24   -3.3798   -1.2131   -0.8335   -0.2472   -0.1027   -0.3130   -0.1511   -0.0229   -0.6334   -0.0486   -0.2235    0.2690         1   -2.1667
