line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   49.968742  5.546668  4.672965  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6832  4.672965   -5.988  0.466789  7.628011  7.1698530E-01  2.6872900E-01  3.3903135E-05  9.2950959E-06  3.9547036E-03  4.9798827E-03  1.0749261E-05  1.4613752E-08  1.8758995E-03  8.4895223E-05  3.612E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.186306  0.0000000E+00  0.0000000000E+00       4.235     8.93   -9.1167   -4.8518   -1.1878   -0.3570   -0.1527   -0.4491   -0.2425   -0.0391   -1.0232   -0.0811   -0.3113    0.3841         1   -4.2649
  2  7.305763459776060E+04   49.892715  5.549311  4.668447  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6783  4.668447   -5.978  0.446859  7.621752  7.0847930E-01  2.7741790E-01  4.4270581E-05  1.2134683E-05  5.2298983E-03  3.5080521E-03  7.7362458E-06  1.0389802E-08  1.8734900E-03  1.9510515E-05  1.137E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.187728  0.0000000E+00  0.0000000000E+00       4.213     9.14   -9.1233   -4.8906   -1.1866   -0.3557   -0.1520   -0.4473   -0.2415   -0.0389   -1.0192   -0.0806   -0.3100    0.3825         1   -4.2327
  3  1.467867548076327E+05   49.814420  5.552281  4.665864  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6742  4.665864   -5.970  0.437633  7.619042  6.9997820E-01  2.8603030E-01  5.0462305E-05  1.3830575E-05  5.9987571E-03  2.6207913E-03  5.8335569E-06  7.7743034E-09  1.8715580E-03  5.6037940E-06  1.629E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.189314  0.0000000E+00  0.0000000000E+00       4.199     9.28   -9.1307   -4.9162   -1.1860   -0.3549   -0.1517   -0.4462   -0.2410   -0.0388   -1.0169   -0.0803   -0.3094    0.3816         1   -4.2145
  4  2.193072009157036E+05   49.735925  5.555181  4.664016  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6699  4.664016   -5.962  0.432407  7.617659  6.9156700E-01  2.9451640E-01  5.4635990E-05  1.4973637E-05  6.5142685E-03  2.0258796E-03  4.5322541E-06  6.0183860E-09  1.8698565E-03  2.1668086E-06  1.963E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.190883  0.0000000E+00  0.0000000000E+00       4.189     9.40   -9.1380   -4.9364   -1.1855   -0.3543   -0.1514   -0.4455   -0.2406   -0.0387   -1.0153   -0.0801   -0.3089    0.3810         1   -4.2016
  5  2.918276470237745E+05   49.655956  5.558138  4.662507  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6656  4.662507   -5.954  0.429125  7.616921  6.8307610E-01  3.0306150E-01  5.7697237E-05  1.5812238E-05  6.8883375E-03  1.5941546E-03  3.5734228E-06  4.7389325E-09  1.8682587E-03  1.2261929E-06  2.201E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.192496  0.0000000E+00  0.0000000000E+00       4.179     9.49   -9.1453   -4.9542   -1.1851   -0.3539   -0.1512   -0.4449   -0.2403   -0.0386   -1.0140   -0.0799   -0.3085    0.3805         1   -4.1911
  6  3.643480931318456E+05   49.574491  5.561136  4.661157  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6614  4.661157   -5.946  0.427024  7.616574  6.7448930E-01  3.1168900E-01  6.0026908E-05  1.6450655E-05  7.1688182E-03  1.2703916E-03  2.8477830E-06  3.7769952E-09  1.8667207E-03  9.7726702E-07  2.370E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.194149  0.0000000E+00  0.0000000000E+00       4.170     9.59   -9.1528   -4.9710   -1.1847   -0.3535   -0.1510   -0.4444   -0.2400   -0.0386   -1.0128   -0.0798   -0.3081    0.3801         1   -4.1818
  7  4.344511910363131E+05   49.494289  5.564074  4.659923  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6574  4.659923   -5.938  0.425746  7.616487  6.6608670E-01  3.2012190E-01  6.1790682E-05  1.6934209E-05  7.3771284E-03  1.0298825E-03  2.3058504E-06  3.0613236E-09  1.8652668E-03  9.3394773E-07  2.484E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.195783  0.0000000E+00  0.0000000000E+00       4.161     9.67   -9.1602   -4.9869   -1.1844   -0.3531   -0.1508   -0.4439   -0.2398   -0.0385   -1.0117   -0.0796   -0.3078    0.3797         1   -4.1733
  8  5.045542889407821E+05   49.412625  5.567043  4.658719  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6535  4.658719   -5.930  0.425002  7.616575  6.5757530E-01  3.2865680E-01  6.3202370E-05  1.7321460E-05  7.5399251E-03  8.4186761E-04  1.8809054E-06  2.5013179E-09  1.8638305E-03  9.5321595E-07  2.560E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.197452  0.0000000E+00  0.0000000000E+00       4.153     9.76   -9.1676   -5.0026   -1.1841   -0.3527   -0.1507   -0.4435   -0.2395   -0.0385   -1.0107   -0.0795   -0.3075    0.3793         1   -4.1650
  9  5.734487127434537E+05   49.330913  5.569998  4.657573  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.6497  4.657573   -5.922  0.424660  7.616790  6.4909900E-01  3.3715140E-01  6.4329988E-05  1.7630992E-05  7.6661958E-03  6.9598257E-04  1.5506770E-06  2.0665689E-09  1.8624261E-03  9.9374118E-07  2.605E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.199129  0.0000000E+00  0.0000000000E+00       4.144     9.85   -9.1750   -5.0178   -1.1838   -0.3524   -0.1505   -0.4431   -0.2393   -0.0384   -1.0096   -0.0794   -0.3072    0.3790         1   -4.1572
